r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid,invalid_reason
Argentina,L-BFGS-B,0.00985502497712012,0.9867425143665388,0.9805556877375904,34,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9626667099547312,0.8811127103467032,2.406718762465075e-5,0.994194471896872,0.3575625991511531,0.05551949195224442,0.4819780878037371,0.07304872858792216,1.3029140432318442,3.4233694523247866e-4,-0.5,3,2,0.25,-164.37116445650648,-156.42270494500244,-156.9044977898398,-160.37116445650648,-150.15171651314412,-146.52501061035264,96.54059410095216,FALSE,FALSE,TRUE,NA
Australia and New Zealand,PORT,6.459263650257633e-4,0.9991206195719636,0.9987102420388798,1568,TRUE,relative convergence (4),2.0918028673725846e-20,0.8052746875623907,0.02240647011012704,5.882719714734726e-29,2.06358077923784e-5,0.996101540940398,0.08905254500546145,0.7239318224263491,0.37079769371818,0.00458626995089415,94,4.5,0.01052631578947368,0.18181818181818185,-227.04734304062697,-219.0988835291229,-219.58067637396027,-223.04734304062697,-212.8278950972646,-209.2011891944731,649.1429350376129,FALSE,FALSE,TRUE,NA
Brazil,PORT,0.00214319072038642,0.99622432355584,0.994462341215232,3240,TRUE,relative convergence (4),21.62858551651733,0.8544871886008962,-0.00151227085288422,0.5751357800171376,0.2752542501030508,1.432278035939638e-23,0.9972401956924012,0,1.408896681402637,2.2730514649489307e-40,0,12,1,0.07692307692307693,-199.4619370657172,-191.5134775542132,-191.99527039905055,-195.4619370657172,-185.24248912235487,-181.61578321956335,13795.36705303192,FALSE,FALSE,TRUE,NA
Canada,LM,0.00176296120690404,0.9946990799885066,0.9922253173164765,36,TRUE,Relative error in the sum of squares is at most `ftol'.,5.7228955842374806e-12,0.7219531345630661,0.0127927006152591,3.3686677460266636e-20,0.7993793193487008,0.6145976535661588,0.32303787469806405,0.1523836884118702,0.5714921622783652,5.483161963172417e-7,92,-0.25,0.01075268817204301,1.3333333333333333,-203.95385570253924,-196.0053961910352,-196.48718903587255,-199.95385570253924,-189.7344077591769,-186.1077018563854,1463.5075991153717,FALSE,FALSE,TRUE,NA
Caribbean Extended,L-BFGS-B,0.00775901189895572,0.9923206423891072,0.9887369421706906,42,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9249452810361094,0.95509788275657,2.4291643532300763e-5,0.9977936138518034,0.07437539015282581,0.34020320392125636,0.9416243902426008,4.151641071982895e-4,1.913834605900952,0.00311617743496267,0,2,1,0.3333333333333333,-169.87107353294616,-161.92261402144212,-162.4044068662795,-165.87107353294616,-155.6516255895838,-152.02491968679232,112.47380304336548,FALSE,FALSE,TRUE,NA
Central America,L-BFGS-B,0.00212607118617943,0.9985482357300144,0.9978707457373546,36,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9395994724400224,0.9272582766546176,2.8804634939289016e-5,0.9957573436305656,0.13573805704879296,0.02459062611448951,0.8972854827337536,2.678163476223174e-29,1.4265080122224203,9.955678025142193e-9,2.25,2.25,0.3076923076923077,0.3076923076923077,-199.64639583440228,-191.69793632289824,-192.1797291677356,-195.64639583440228,-185.42694789103993,-181.80024198824844,126.7713041305542,FALSE,FALSE,TRUE,NA
Central Asia Extended,Nelder-Mead,0.01409040908096418,0.9961742657353948,0.9943889230785788,147,TRUE,NA,0.01752987566505822,0.9659266444298652,0.00200413534231824,0.8625374205996398,0.5365697583913147,0.06234562262566336,0.5160588746764416,0.41264541577857705,1.0334487855919885,0.06141045448875158,0,28,1,0.03448275862068965,-156.14836812792498,-148.19990861642094,-148.6817014612583,-152.14836812792498,-141.92892018456263,-138.30221428177114,164.12261819839478,FALSE,FALSE,TRUE,NA
Chile,Nelder-Mead,0.0119514597751604,0.9906247499228072,0.9862496332201172,423,TRUE,NA,0.01741276146085506,0.8799548899711676,0.00199810074739788,0.5419680743945389,0.17585654308282245,0.25662492993150293,0.611669010393435,0.1317675788452747,1.2096671639489684,8.723431818149341e-12,1,12,0.5,0.07692307692307693,-159.93510954277392,-151.98665003126987,-152.46844287610725,-155.93510954277392,-145.71566159941156,-142.08895569662008,1262.8435189723969,FALSE,FALSE,TRUE,NA
EU27,L-BFGS-B,0.00738353832388045,0.997692310862928,0.9966153892656276,28,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9400792913923192,0.9812691305847944,3.146204122141363e-5,0.998808260189372,0.25238752832793127,0.18260489082621137,0.51416219255798,0.2721993266476188,1.5378683987865651,0.06287000622542364,-0.75,3.5,4,0.2222222222222222,-171.0119200408897,-163.06346052938565,-163.54525337422302,-167.0119200408897,-156.79247209752734,-153.16576619473585,90.38248991966248,FALSE,FALSE,TRUE,NA
Eastern Africa,PORT,0.00164935980290499,0.9910587755475938,0.9868862041364708,11960,TRUE,relative convergence (4),1.0079061386771106e-4,0.7853884033856301,0.00454269961103869,0.01238908669137067,0.21208069351228095,0.02219755469228294,0.7960340575440041,0.13577669464702433,1.5171012251499465,1.2460474810830805e-7,0.25,34,0.8,0.02857142857142857,-205.48583245216668,-197.53737294066264,-198.0191657855,-201.48583245216668,-191.26638450880432,-187.63967860601284,1584.7742171287537,FALSE,FALSE,TRUE,NA
