r,method,parameter,Estimate,Std. Error,t value,Pr(>|t|)
Argentina,LM,gamma,0.001611066282284678,0.004870869832991146,0.3307553553110124,0.7408292858063339
Argentina,LM,lambda,0.003167740951098147,0.0014969516365111691,2.116127785184135,0.034333940947707434
Argentina,LM,delta_1,0.44709591612536487,0.10435257652348931,4.28447414544408,1.831719069419744e-5
Argentina,LM,delta,0.0023410490175718836,0.012786511072528671,0.1830873961077262,0.8547294450670285
Argentina,LM,rho_1,-0.99,0.4169718149823663,-2.374261195668266,0.017584106589641064
Argentina,LM,rho,46,41.568916387653836,1.1065960818180534,0.26846860209546747
Argentina,LM,nu,1.0662113501468533,0.1668562343773267,6.390000074769372,1.6588567370590824e-10
Argentina,NM,gamma,0.01764880095061891,0.11434450166710997,0.15434761351271345,0.8773356569298543
Argentina,NM,lambda,0.0020073428385940025,0.003205132270077865,0.6262901713398669,0.5311246318860441
Argentina,NM,delta_1,0.5149803481685231,0.2821206806700901,1.8253902795971821,0.0679421551133305
Argentina,NM,delta,0.537917526486813,0.2758311502640408,1.9501696090955958,0.05115590677764065
Argentina,NM,rho_1,-0.99,0.6571436802729695,-1.5065198520797856,0.13193377482091104
Argentina,NM,rho,3.25,9.6363895695267,0.337263243308212,0.7359184657142934
Argentina,NM,nu,1.0305066936223157,0.3611524616582001,2.853384105125115,0.004325630266599367
Argentina,Nelder-Mead,gamma,0.01764880095061891,0.11434450166710997,0.15434761351271345,0.8773356569298543
Argentina,Nelder-Mead,lambda,0.0020073428385940025,0.003205132270077865,0.6262901713398669,0.5311246318860441
Argentina,Nelder-Mead,delta_1,0.5149803481685231,0.2821206806700901,1.8253902795971821,0.0679421551133305
Argentina,Nelder-Mead,delta,0.537917526486813,0.2758311502640408,1.9501696090955958,0.05115590677764065
Argentina,Nelder-Mead,rho_1,-0.99,0.6571436802729695,-1.5065198520797856,0.13193377482091104
Argentina,Nelder-Mead,rho,3.25,9.6363895695267,0.337263243308212,0.7359184657142934
Argentina,Nelder-Mead,nu,1.0305066936223157,0.3611524616582001,2.853384105125115,0.004325630266599367
Argentina,PORT,gamma,0.0023115400308283372,0.0073381437333797294,0.3150033734435604,0.7527590925273828
Argentina,PORT,lambda,0.002990318967295908,0.001571500415003376,1.9028432565125881,0.05706100098100072
Argentina,PORT,delta_1,0.4447728978002907,0.11152827624262913,3.9879832521816243,6.663736666997285e-5
Argentina,PORT,delta,0.007288312321748793,0.028109610894164378,0.25928186445518764,0.7954177711400658
Argentina,PORT,rho_1,-0.99,0.434072109474586,-2.280727046016216,0.022564603705274543
