year,region,total_factor_productivity,share_capital_valueadded,share_valueadded_output,elasticity_substitution_capital_labour,elasticity_substitution_valueadded_energy,valueadded_CES_exponent,output_CES_exponent,gamma_parameter,nu_parameter,converged
2000,Argentina,1.010137391286571,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2001,Argentina,1.0101617027452467,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2002,Argentina,1.010186014789038,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2003,Argentina,1.010210327417959,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2004,Argentina,1.0102346406320235,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2005,Argentina,1.0102589544312457,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2006,Argentina,1.0102832688156396,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2007,Argentina,1.0103075837852196,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2008,Argentina,1.0103318993399997,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2009,Argentina,1.0103562154799934,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2010,Argentina,1.0103805322052155,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2011,Argentina,1.01040484951568,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2012,Argentina,1.0104291674114003,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2013,Argentina,1.0104534858923917,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2014,Argentina,1.0104778049586671,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2015,Argentina,1.0105021246102412,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2016,Argentina,1.010526444847128,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2017,Argentina,1.0105507656693415,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2018,Argentina,1.010575087076896,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2019,Argentina,1.0105994090698052,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2020,Argentina,1.0106237316480835,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2021,Argentina,1.0106480548117451,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2022,Argentina,1.0106723785608036,0.3575625991511531,0.4819780878037371,2,0.25,-0.5,3,0.9626667099547312,1.3029140432318442,TRUE
2000,Australia and New Zealand,0.6060848237509969,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2001,Australia and New Zealand,0.6198183303707018,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2002,Australia and New Zealand,0.6338630297421178,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2003,Australia and New Zealand,0.6482259733002063,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2004,Australia and New Zealand,0.662914372261076,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2005,Australia and New Zealand,0.677935601242525,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2006,Australia and New Zealand,0.6932972019666226,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2007,Australia and New Zealand,0.709006887046187,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2008,Australia and New Zealand,0.7250725438570652,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2009,Australia and New Zealand,0.7415022384981544,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2010,Australia and New Zealand,0.7583042198411555,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2011,Australia and New Zealand,0.7754869236720919,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2012,Australia and New Zealand,0.7930589769266718,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2013,Australia and New Zealand,0.8110292020216223,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2014,Australia and New Zealand,0.8294066212841675,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2015,Australia and New Zealand,0.8482004614818771,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2016,Australia and New Zealand,0.8674201584551572,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2017,Australia and New Zealand,0.8870753618547124,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2018,Australia and New Zealand,0.9071759399863532,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2019,Australia and New Zealand,0.9277319847655872,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2020,Australia and New Zealand,0.948753816784474,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2021,Australia and New Zealand,0.9702519904932962,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2022,Australia and New Zealand,0.9922372994996408,2.06358077923784e-5,0.08905254500546145,0.01052631578947368,0.18181818181818185,94,4.5,2.0918028673725846e-20,0.37079769371818,TRUE
2000,Brazil,1.050718417697756,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2001,Brazil,1.0491306477318003,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2002,Brazil,1.0475452770894154,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2003,Brazil,1.0459623021449154,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2004,Brazil,1.0443817192780935,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2005,Brazil,1.0428035248742151,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2006,Brazil,1.041227715324008,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2007,Brazil,1.0396542870236511,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2008,Brazil,1.0380832363747727,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2009,Brazil,1.036514559784437,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2010,Brazil,1.0349482536651375,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2011,Brazil,1.0333843144347887,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2012,Brazil,1.0318227385167196,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2013,Brazil,1.0302635223396626,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2014,Brazil,1.0287066623377463,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2015,Brazil,1.0271521549504898,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2016,Brazil,1.0255999966227909,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2017,Brazil,1.0240501838049196,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2018,Brazil,1.022502712952511,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2019,Brazil,1.0209575805265556,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2020,Brazil,1.0194147829933913,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2021,Brazil,1.017874316824697,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2022,Brazil,1.0163361784974825,0.2752542501030508,0.9972401956924012,1,0.07692307692307693,0,12,21.62858551651733,1.408896681402637,TRUE
2000,Canada,0.7399704788062714,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2001,Canada,0.749497507894172,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2002,Canada,0.7591471963121937,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2003,Canada,0.7689211232841613,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2004,Canada,0.7788208883662021,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2005,Canada,0.788848111708543,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2006,Canada,0.799004434320635,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2007,Canada,0.8092915183397326,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2008,Canada,0.8197110473029041,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2009,Canada,0.8302647264225417,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2010,Canada,0.8409542828654499,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2011,Canada,0.8517814660354814,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2012,Canada,0.8627480478598615,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2013,Canada,0.8738558230791481,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2014,Canada,0.8851066095409766,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2015,Canada,0.8965022484975346,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2016,Canada,0.9080446049069182,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2017,Canada,0.9197355677383175,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2018,Canada,0.9315770502811792,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2019,Canada,0.9435709904583154,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2020,Canada,0.9557193511430482,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2021,Canada,0.9680241204804654,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2022,Canada,0.9804873122127652,0.7993793193487008,0.32303787469806405,0.01075268817204301,1.3333333333333333,92,-0.25,5.7228955842374806e-12,0.5714921622783652,TRUE
2000,Caribbean Extended,0.9709916483671366,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2001,Caribbean Extended,0.9710152356366172,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2002,Caribbean Extended,0.9710388234790784,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2003,Caribbean Extended,0.9710624118945338,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2004,Caribbean Extended,0.9710860008829976,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2005,Caribbean Extended,0.9711095904444838,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2006,Caribbean Extended,0.971133180579006,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2007,Caribbean Extended,0.9711567712865784,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2008,Caribbean Extended,0.9711803625672148,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2009,Caribbean Extended,0.9712039544209292,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2010,Caribbean Extended,0.9712275468477356,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2011,Caribbean Extended,0.9712511398476472,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2012,Caribbean Extended,0.971274733420679,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2013,Caribbean Extended,0.9712983275668444,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2014,Caribbean Extended,0.9713219222861572,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2015,Caribbean Extended,0.9713455175786316,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2016,Caribbean Extended,0.9713691134442816,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2017,Caribbean Extended,0.9713927098831204,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2018,Caribbean Extended,0.9714163068951628,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2019,Caribbean Extended,0.9714399044804222,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2020,Caribbean Extended,0.9714635026389128,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2021,Caribbean Extended,0.9714871013706484,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2022,Caribbean Extended,0.9715107006756428,0.07437539015282581,0.9416243902426008,1,0.3333333333333333,0,2,0.9249452810361094,1.913834605900952,TRUE
2000,Central America,0.9953186739322862,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2001,Central America,0.9953473441362524,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2002,Central America,0.9953760151660652,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2003,Central America,0.9954046870217488,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2004,Central America,0.9954333597033264,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2005,Central America,0.995462033210822,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2006,Central America,0.9954907075442594,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2007,Central America,0.9955193827036624,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2008,Central America,0.9955480586890548,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2009,Central America,0.9955767355004604,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2010,Central America,0.9956054131379032,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2011,Central America,0.9956340916014064,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2012,Central America,0.9956627708909944,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2013,Central America,0.9956914510066908,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2014,Central America,0.9957201319485192,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2015,Central America,0.9957488137165036,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2016,Central America,0.9957774963106678,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2017,Central America,0.9958061797310356,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2018,Central America,0.9958348639776304,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2019,Central America,0.9958635490504768,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2020,Central America,0.995892234949598,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2021,Central America,0.995920921675018,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2022,Central America,0.9959496092267603,0.13573805704879296,0.8972854827337536,0.3076923076923077,0.3076923076923077,2.25,2.25,0.9395994724400224,1.4265080122224203,TRUE
2000,Central Asia Extended,0.9650474690451892,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2001,Central Asia Extended,0.9669834941650872,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2002,Central Asia Extended,0.9689234032320296,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2003,Central Asia Extended,0.970867204037778,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2004,Central Asia Extended,0.9728149043897224,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2005,Central Asia Extended,0.974766512110919,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2006,Central Asia Extended,0.976722035040117,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2007,Central Asia Extended,0.978681481031791,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2008,Central Asia Extended,0.9806448579561732,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2009,Central Asia Extended,0.9826121736992844,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2010,Central Asia Extended,0.9845834361629658,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2011,Central Asia Extended,0.986558653264912,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2012,Central Asia Extended,0.988537832938699,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2013,Central Asia Extended,0.9905209831338212,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2014,Central Asia Extended,0.9925081118157196,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2015,Central Asia Extended,0.994499226965816,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2016,Central Asia Extended,0.9964943365815432,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2017,Central Asia Extended,0.998493448676378,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2018,Central Asia Extended,1.0004965712798743,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2019,Central Asia Extended,1.0025037124376943,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2020,Central Asia Extended,1.0045148802116393,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2021,Central Asia Extended,1.006530082679685,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2022,Central Asia Extended,1.0085493279360132,0.5365697583913147,0.5160588746764416,1,0.03448275862068965,0,28,0.01752987566505822,1.0334487855919885,TRUE
2000,Chile,0.9471001565136724,0.17585654308282245,0.611669010393435,0.5,0.07692307692307693,1,12,0.01741276146085506,1.2096671639489684,TRUE
2001,Chile,0.9489944499085546,0.17585654308282245,0.611669010393435,0.5,0.07692307692307693,1,12,0.01741276146085506,1.2096671639489684,TRUE
2002,Chile,0.9508925320763996,0.17585654308282245,0.611669010393435,0.5,0.07692307692307693,1,12,0.01741276146085506,1.2096671639489684,TRUE
2003,Chile,0.9527944105951258,0.17585654308282245,0.611669010393435,0.5,0.07692307692307693,1,12,0.01741276146085506,1.2096671639489684,TRUE
2004,Chile,0.954700093057807,0.17585654308282245,0.611669010393435,0.5,0.07692307692307693,1,12,0.01741276146085506,1.2096671639489684,TRUE
2005,Chile,0.9566095870727056,0.17585654308282245,0.611669010393435,0.5,0.07692307692307693,1,12,0.01741276146085506,1.2096671639489684,TRUE
2006,Chile,0.958522900263302,0.17585654308282245,0.611669010393435,0.5,0.07692307692307693,1,12,0.01741276146085506,1.2096671639489684,TRUE
2007,Chile,0.9604400402683206,0.17585654308282245,0.611669010393435,0.5,0.07692307692307693,1,12,0.01741276146085506,1.2096671639489684,TRUE
2008,Chile,0.9623610147417684,0.17585654308282245,0.611669010393435,0.5,0.07692307692307693,1,12,0.01741276146085506,1.2096671639489684,TRUE
2009,Chile,0.9642858313529572,0.17585654308282245,0.611669010393435,0.5,0.07692307692307693,1,12,0.01741276146085506,1.2096671639489684,TRUE
2010,Chile,0.966214497786542,0.17585654308282245,0.611669010393435,0.5,0.07692307692307693,1,12,0.01741276146085506,1.2096671639489684,TRUE
