r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid,invalid_reason,fallback_tier
Argentina,L-BFGS-B,0.00858189349617227,0.9884551110670612,0.98306749623169,29,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9673929111458132,0.8679806582717075,2.54718590374435e-5,0.99317127680978,0.39193631723442585,0.01570678219462067,0.4683737238802886,0.08173235053585641,1.270975722619746,8.994551480385182e-5,-0.89,6,9.090909090909092,0.14285714285714285,-167.55268312687284,-159.6042236153688,-160.08601646020617,-163.55268312687284,-153.33323518351048,-149.706529280719,41.32561206817627,FALSE,FALSE,TRUE,NA,NA
Australia and New Zealand,Nelder-Mead,0.00188209041828119,0.9974376791643256,0.996241929441011,297,TRUE,NA,0.03213702793701892,0.931847404455172,0.0016948044202878,0.7694663192993186,0.05236057754907534,0.11431162626631965,0.5519773445143754,0.3625075918118306,1.3386214600929802,1.8681664275416584e-5,-0.3899999999999999,46,1.6393442622950818,0.02127659574468085,-202.44992745718787,-194.50146794568383,-194.9832607905212,-198.44992745718787,-188.23047951382551,-184.60377361103403,87.63542103767395,FALSE,FALSE,TRUE,NA,NA
Brazil,PORT,0.00215515296483347,0.9962032591324462,0.9944314467275878,3297,TRUE,relative convergence (4),26.49471438647288,0.8544903552237937,-0.00161275920818008,0.5500182569516097,0.27589620562870765,2.4406904797243145e-23,0.9971802149085828,0,1.41006581783607,1.78517016247437e-40,0.1100000000000001,12,0.9009009009009008,0.07692307692307693,-199.33391922780797,-191.38545971630393,-191.8672525611413,-195.33391922780797,-185.1144712844456,-181.48776538165413,3317.7076320648193,FALSE,FALSE,TRUE,NA,NA
Canada,PORT,0.00210175462300468,0.993680438096176,0.990731309207725,310,TRUE,relative convergence (4),4.327681916470131e-13,0.5177221264908034,0.01406869276858459,2.5263020696410975e-75,0.17327759255124678,0.8609964138470109,8.155266780890033e-6,0.9889208716508312,0.5093907745532753,2.23481712090304e-9,0.51,94,0.6622516556291391,0.01052631578947368,-199.9109701785005,-191.96251066699645,-192.44430351183385,-195.9109701785005,-185.69152223513817,-182.06481633234665,418.50343799591064,FALSE,FALSE,TRUE,NA,NA
Caribbean Extended,L-BFGS-B,0.00828925897487633,0.991795887084258,0.987967301056912,31,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8820068493172686,0.9671248867941028,4.672891764680411e-5,0.9968929086058206,0.06483526267689556,0.4226032339155028,0.9154737722130016,0.07096360810488855,1.9073507914708223,0.02830757633727661,0.2100000000000002,10,0.8264462809917354,0.09090909090909093,-168.35064510459247,-160.40218559308843,-160.8839784379258,-164.35064510459247,-154.13119716123012,-150.50449125843863,50.426148891448975,FALSE,FALSE,TRUE,NA,NA
Central America,LM,6.912401822700143e-4,0.9995279924394688,0.9993077222445542,575,TRUE,Relative error in the sum of squares is at most `ftol'.,2.6459194080743072e-11,0.877259658788289,0.01204390391520953,1.691411897774585e-4,0.1919206166482984,0.00128809293200573,0.9813799632194776,1.55965524544525e-116,0.8894634264859617,1.0695778269992727e-9,4,28,0.2,0.03448275862068965,-225.48790075250824,-217.5394412410042,-218.02123408584157,-221.48790075250824,-211.26845280914588,-207.6417469063544,2870.3668899536133,FALSE,FALSE,TRUE,NA,NA
Central Asia Extended,Nelder-Mead,0.02068070657885641,0.9943410852734648,0.9917002584010814,251,TRUE,NA,0.01693489087820721,0.9588020830380364,0.00202350851531486,0.8325862189447129,0.5821555455938343,0.09722997478342958,0.4869005685479936,0.2409544383951948,1.0482606691583565,0.03151424927189004,-0.08999999999999997,14,1.0989010989010988,0.06666666666666667,-147.32311040776855,-139.3746508962645,-139.85644374110188,-143.32311040776855,-133.1036624644062,-129.4769565616147,148.8523678779602,FALSE,FALSE,TRUE,NA,NA
Chile,NM,0.01223131919065334,0.9904053548603888,0.9859278537952368,487,TRUE,NA,0.01209514458175823,0.8823730901174832,0.00218087141149659,0.5143230554079959,0.19125142801482847,0.25378976619296306,0.5861766034064969,0.17597221365514518,1.2122378362767985,3.94940596474955e-11,0.6100000000000001,16,0.6211180124223602,0.0588235294117647,-159.40274277546897,-151.45428326396492,-151.9360761088023,-155.40274277546897,-145.1832948321066,-141.55658892931513,158.34373879432678,FALSE,FALSE,TRUE,NA,NA
Eastern Africa,PORT,0.00163562299710203,0.9911332335268837,0.9869954091727624,2400,TRUE,relative convergence (4),6.252469583850441e-5,0.7907825122640799,0.00477840166773511,0.01036613876153733,0.20711957218733973,0.02414644683926263,0.8012265671862695,0.02092010348155267,1.4849420258683843,5.833500067451268e-8,0.81,26,0.5524861878453039,0.03703703703703703,-205.67819167858136,-197.72973216707737,-198.21152501191472,-201.67819167858136,-191.45874373521903,-187.83203783242757,1342.1969361305237,FALSE,FALSE,TRUE,NA,NA
Japan,LM,8.058494685279036e-4,0.9817486256448767,0.973231317612486,287,TRUE,Relative error in the sum of squares is at most `ftol'.,9.272837293269433e-14,0.5096193600832929,0.01483762985566927,3.641488431757704e-87,0.29048189047964,0.01548949617107295,0.17206771164273257,0.00380169471190484,1.287408757165778,2.01703107031316e-10,12,8,0.07692307692307693,0.1111111111111111,-221.9594796861732,-214.0110201746691,-214.4928130195065,-217.9594796861732,-207.74003174281083,-204.11332584001937,2114.842847108841,FALSE,FALSE,TRUE,NA,NA
Levant,L-BFGS-B,0.00965047408199634,0.9948992745698362,0.9925189360357596,33,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9467411285628642,0.9321688456869044,5.493188362050659e-6,0.9992457857277568,0.23963761403154177,0.03662582951353797,0.5133456904178711,0.0026074863477921,1.4616259615622351,1.9172206723879056e-8,0.51,16,0.6622516556291391,0.0588235294117647,-164.85357642127934,-156.9051169097753,-157.38690975461267,-160.85357642127934,-150.634128477917,-147.0074225751255,57.335750102996826,FALSE,FALSE,TRUE,NA,NA
Mexico,L-BFGS-B,0.01178734361001826,0.955233854301306,0.934342986308582,48,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9627937671874672,0.95515331085051,2.4183979056944067e-5,0.9978058118936256,0.06472132993982348,0.9712389690408822,0.9138096332941243,0.46929264242948093,0.8411176724601356,0.05665089348799952,60,44,0.01639344262295082,0.02222222222222222,-160.25313163309752,-152.30467212159348,-152.78646496643086,-156.25313163309752,-146.03368368973517,-142.40697778694368,86.63349294662476,FALSE,FALSE,TRUE,NA,NA
Middle Africa,L-BFGS-B,0.04439495711810443,0.9785650747526023,0.9685621096371504,37,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9915733164512052,0.9701114815157532,4.9982774351487097e-5,0.996978810923466,0.5065048428704946,0.7344821496738432,0.31788929152088924,0.0847215447981451,1.06978408558942,0.03687123884298743,12,-0.79,0.07692307692307693,4.761904761904763,-129.75284303792802,-121.80438352642398,-122.28617637126136,-125.75284303792802,-115.53339509456566,-111.90668919177418,48.58582091331482,FALSE,FALSE,TRUE,NA,NA
Non-EU Europe,PORT,0.00398045620427701,0.9903644339935572,0.9858678365238838,245,TRUE,relative convergence (4),1.2856201586567236e-13,0.764684325322051,0.01467898948991457,6.432541516369522e-19,0.21219477763906192,0.915409753851213,0.1083727305527226,0.6605840731059424,0.6980873043716305,8.226780588824007e-11,4,10,0.2,0.09090909090909093,-185.2226203338525,-177.27416082234842,-177.7559536671858,-181.2226203338525,-171.0031723904901,-167.37646648769862,1303.4687869548798,FALSE,FALSE,TRUE,NA,NA
Northern Africa,PORT,0.00525816478537426,0.99530465389969,0.993113492386212,1524,TRUE,relative convergence (4),1.1658882469122835e-18,0.8254043224737408,0.02041567751264071,9.469308848658097e-20,0.11674368988461492,0.364854524589307,0.9999975636798571,0,0.526734393796063,2.782274820947818e-4,-0.89,80,9.090909090909092,0.01234567901234567,-178.81975087069003,-170.871291359186,-171.35308420402336,-174.81975087069003,-164.60030292732768,-160.9735970245362,1425.0741460323334,FALSE,FALSE,TRUE,NA,NA
Peninsular West Asia,L-BFGS-B,0.01055789028795776,0.9924456271490208,0.9889202531518972,49,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.973974689046844,0.94982910265066,-5.473453236216871e-6,0.999444875457792,1e-6,0.999993395623497,0.7657106116135951,1.412148105375621e-9,1.112357428828923,7.353726463996966e-6,6,-0.69,0.14285714285714285,3.2258064516129026,-162.78664845838662,-154.83818894688258,-155.31998179171995,-158.78664845838662,-148.56720051502427,-144.94049461223278,86.74120497703552,FALSE,FALSE,TRUE,NA,NA
Republic of Korea,PORT,0.00189439685835409,0.9984764981561516,0.9977655306290222,1071,TRUE,relative convergence (4),5.152488554757305e-17,0.7834190620594876,0.01854589905258655,6.502915178061519e-25,2.8465134592764233e-07,0.961536522446846,0.32539633988685696,0.3699915103658705,0.8527255776065381,2.046004611558955e-18,98,26,0.0101010101010101,0.03703703703703703,-202.30002671458908,-194.35156720308504,-194.8333600479224,-198.30002671458908,-188.08057877122673,-184.45387286843524,409.0283839702606,FALSE,FALSE,TRUE,NA,NA
Russia,PORT,0.00263515365072259,0.9970397658799994,0.9956583232906658,1226,TRUE,relative convergence (4),2.8079305726539914e-8,0.5506893940506363,0.00860645282990289,2.995676026677624e-25,0.03631031479875529,0.928026588167024,0.7797428541971451,9.596407497453557e-16,0.5098861297728622,1.5875461237487853e-11,60,4,0.01639344262295082,0.2,-194.70908407241168,-186.7606245609076,-187.242417405745,-190.70908407241168,-180.4896361290493,-176.86293022625782,1301.8788430690763,FALSE,FALSE,TRUE,NA,NA
South Africa,L-BFGS-B,0.0127725207081482,0.9773391286344564,0.9667640553305362,77,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8590271280958278,0.9083148796177848,7.439326061726284e-5,0.9861746193281766,0.3030067089197818,5.543418574848981e-5,0.999999,0.00126724269284228,1.195830197932632,3.8557394335837635e-07,0.01,-0.3899999999999999,0.99009900990099,1.6393442622950818,-158.40692938179586,-150.45846987029182,-150.9402627151292,-154.40692938179586,-144.1874814384335,-140.56077553564202,107.07759499549866,FALSE,FALSE,TRUE,NA,NA
South America Cluster,L-BFGS-B,0.02187333748018612,0.986555191791726,0.980280947961198,60,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8500118775573126,0.9731469269649318,5.704758953533205e-5,0.9969034348220412,0.0587859034308512,0.6116988069241007,0.999999,3.734234719812523e-5,2.102317357842846,0.01416303675418223,-0.89,12,9.090909090909092,0.07692307692307693,-146.0335645286168,-138.08510501711277,-138.56689786195014,-142.0335645286168,-131.81411658525445,-128.18741068246297,56.60979104042053,FALSE,FALSE,TRUE,NA,NA
South-eastern Asia,Nelder-Mead,0.00747450381981843,0.9968913913483202,0.9954407073108696,1879,TRUE,NA,4.031556514577865e-6,0.9285344863485387,0.00615595429251222,0.26431693046528587,0.3943036577809128,0.14608055803292638,0.7119176273728317,4.813474189067643e-8,1.5401893993410485,0.0022016486556952,-0.49,0.91,1.96078431372549,0.5235602094240838,-170.73029039851795,-162.7818308870139,-163.26362373185128,-166.73029039851795,-156.5108424551556,-152.8841365523641,146.73133182525635,FALSE,FALSE,TRUE,NA,NA
Southern Africa Cluster,L-BFGS-B,0.02214182947417392,0.9792424718003032,0.9695556253071116,39,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.914277189377614,0.9781842200021064,4.506805834866645e-5,0.9980114862469572,0.10690967559857596,0.4791984073910523,0.5113522245053764,0.15271501956292616,1.7194449286089817,0.1781622422713078,-0.59,10,2.4390243902439024,0.09090909090909093,-145.75296159626694,-137.8045020847629,-138.28629492960027,-141.75296159626694,-131.5335136529046,-127.9068077501131,62.868139028549194,FALSE,FALSE,TRUE,NA,NA
Southern Asia Cluster,Nelder-Mead,0.00609898289361632,0.9975110599638306,0.9963495546136182,519,TRUE,NA,0.01063592058369496,0.9660511097927328,0.00225011487872413,0.8464510811869697,0.08513769506894805,0.02950716633323546,0.5034780540982933,0.4175066804649401,1.7778251152160938,1.9565203287674328e-4,0.41000000000000014,76,0.7092198581560283,0.01298701298701298,-175.40793195687553,-167.4594724453715,-167.94126529020886,-171.40793195687553,-161.18848401351318,-157.5617781107217,86.68446183204651,FALSE,FALSE,TRUE,NA,NA
Tropical Pacific Islands,L-BFGS-B,0.01414716231176057,0.9895618636706704,0.98469073338365,94,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9028056328466244,0.914482201070246,4.5858969703176745e-5,0.9920626879267204,0.1672556497024985,0.02355419689093665,0.02148568134675706,0.6369283453969643,1.827229938980407,4.822002351133268e-18,-0.69,26,3.2258064516129026,0.03703703703703703,-156.05591498825646,-148.10745547675242,-148.5892483215898,-152.05591498825646,-141.8364670448941,-138.20976114210262,87.37750005722046,FALSE,FALSE,TRUE,NA,NA
United Kingdom,PORT,0.00463215805143318,0.9770176480550128,0.9662925504806854,3655,TRUE,relative convergence (4),4.2530500882976915e-5,0.9357068116636836,0.0049560636423666,0.41878495086763384,0.3726466033099225,0.5113306307249901,0.43423952414837913,0.4031118558294124,1.1572081036781865,0.13779453350201645,0.6100000000000001,8,0.6211180124223602,0.1111111111111111,-181.735212572419,-173.78675306091495,-174.26854590575232,-177.735212572419,-167.51576462905663,-163.88905872626515,1536.47442984581,FALSE,FALSE,TRUE,NA,NA
United States,L-BFGS-B,0.0040341517923233,0.9895040109543068,0.9846058827329832,42,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8184618283349926,0.8819091057587828,8.73637583037572e-5,0.9790673527635488,0.09460325897142578,0.01438106091044243,0.9876663614064182,1.8447306218563618e-12,2.201375169530521,3.42472382173085e-7,0.51,34,0.6622516556291391,0.02857142857142857,-184.91442884046748,-176.96596932896344,-177.4477621738008,-180.91442884046748,-170.69498089710513,-167.06827499431364,83.28052997589111,FALSE,FALSE,TRUE,NA,NA
Western Africa,L-BFGS-B,0.01778212759821921,0.9927417096790822,0.9893545075293204,48,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.926598687375773,0.9927267465862818,5.96143744620854e-5,0.9991231823743436,0.03403883791425531,0.7396281206718488,0.49536038035429536,0.5048559334410925,1.4607014924257606,0.4787783701363952,2,6,0.3333333333333333,0.14285714285714285,-150.79627901947708,-142.84781950797304,-143.3296123528104,-146.79627901947708,-136.57683107611473,-132.95012517332324,43.057623863220215,FALSE,FALSE,TRUE,NA,NA
EU27,Newton,0.01624425504875086,0.994922873315983,0.9925535475301084,2,TRUE,NA,0.994062141879856,0.9856304763068756,-1.987645938653385e-5,0.9994224578912412,0.42962599446471333,0.3398423149299319,0.5851816622026969,0.9308151041733612,0.982822517392407,0.3699308187667768,-0.59,100,2.4390243902439024,0.0099009900990099,-152.87673423442465,-144.9282747229206,-145.41006756775798,-148.87673423442465,-138.6572862910623,-135.0305803882708,38.78486108779907,FALSE,TRUE,FALSE,NA|NA|NA|NA|NA|NA|NA|rho_VAE_on_edge,relaxed
India,Newton,0.03679105440386428,0.9906679545744462,0.9863130000425212,3,TRUE,NA,0.9723520653290032,0.9610709738793528,-7.900600379558142e-6,0.999377860206814,0.463743380380941,0.995901309865406,0.5055324131065799,0.03150983185424403,1.009581560680137,1.4456325010505982e-9,100,-0.49,0.0099009900990099,1.96078431372549,-134.07387962118122,-126.12542010967718,-126.60721295451457,-130.07387962118122,-119.85443167781888,-116.22772577502738,40.79675316810608,TRUE,FALSE,FALSE,NA|NA|NA|NA|NA|NA|rho_KL_on_edge|NA,relaxed
Switzerland,NM,0.00678411335056373,0.9807996802139458,0.9718395309804538,143,TRUE,NA,0.0175883911886374,0.929385087968659,0.00197064863487398,0.7240029448748283,0.533701578741387,0.1443117977287258,0.5157463487280118,0.950442995065762,1.0365357214656012,0.01560046106161203,2,100,0.3333333333333333,0.0099009900990099,-172.95931542507105,-165.010855913567,-165.4926487584044,-168.95931542507105,-158.7398674817087,-155.1131615789172,113.21598386764526,FALSE,TRUE,FALSE,NA|NA|NA|NA|NA|NA|NA|rho_VAE_on_edge,relaxed
