r,method,invalid_reason,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid
Argentina,LM,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.00596730018102681,0.9919724221874592,0.9882262192082736,810,TRUE,Relative error in the sum of squares is at most `ftol'.,0.00221912769332498,0.7395510829815248,0.00300966109035571,0.04327788440110949,0.4504897297867043,2.164835059581727e-5,0.00380355068764992,0.8254968732598043,1.067811937389555,1.8717942792879182e-10,-0.99,42,99.99999999999991,0.02325581395348837,-175.90996271789007,-167.96150320638603,-168.4432960512234,-171.90996271789007,-161.6905147745277,-158.06380887173623,2374.1726081371307,TRUE,FALSE,FALSE
Argentina,NM,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.00871976475601542,0.9882696382011206,0.9827954693616436,137,TRUE,NA,0.01752174747307577,0.874385460943368,0.00201279692367556,0.5200915220085963,0.515918622088797,0.05288568759203975,0.537269853134559,0.05366359084701676,1.0325216003059123,0.00343075459096338,-0.99,4,99.99999999999991,0.2,-167.1861164021357,-159.23765689063163,-159.71944973546903,-163.1861164021357,-152.96666845877334,-149.33996255598186,167.49340891838074,TRUE,FALSE,FALSE
Argentina,Nelder-Mead,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.00871976475601542,0.9882696382011206,0.9827954693616436,137,TRUE,NA,0.01752174747307577,0.874385460943368,0.00201279692367556,0.5200915220085963,0.515918622088797,0.05288568759203975,0.537269853134559,0.05366359084701676,1.0325216003059123,0.00343075459096338,-0.99,4,99.99999999999991,0.2,-167.1861164021357,-159.23765689063163,-159.71944973546903,-163.1861164021357,-152.96666845877334,-149.33996255598186,170.1916229724884,TRUE,FALSE,FALSE
Argentina,PORT,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.00606254354625975,0.991844294977106,0.9880382992997556,1815,TRUE,relative convergence (4),0.00380286622329527,0.7573087660117179,0.00274512074747507,0.08656159190245694,0.44734405570759384,1.2973448693511644e-4,0.01578550549650179,0.7236806502478781,1.0859543265579386,9.358312988637639e-10,-0.99,32,99.99999999999991,0.0303030303030303,-175.54576128306132,-167.59730177155728,-168.07909461639466,-171.54576128306132,-161.32631333969897,-157.69960743690748,3419.6411159038544,TRUE,FALSE,FALSE
Argentina,Newton,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA,0.01444793634176283,0.9805637508260598,0.9714935012115544,2,TRUE,NA,1.0068823341384834,0.8986247851334201,2.9670526151568634e-6,0.9993903741013248,0.5938553229699095,0.09477598522826378,0.5588296120248673,0.2636482018283822,0.9123076717313358,0.04003958993500211,-0.99,8,99.99999999999991,0.1111111111111111,-155.57205179822222,-147.62359228671818,-148.10538513155555,-151.57205179822222,-141.35260385485986,-137.72589795206838,39.53563404083252,TRUE,FALSE,FALSE
Australia and New Zealand,LM,NA|NA|NA|NA|NA|bad_sigma_VAE|NA|rho_VAE_on_edge,5.879534052136179e-4,0.9991995468198812,0.9988260020024924,886,TRUE,Relative error in the sum of squares is at most `ftol'.,2.6322228455252657e-18,0.857382026412712,0.02001564165724806,3.4755896271455537e-13,7.843125236414985e-7,0.989231725669676,0.38093673227986347,0.16689931417317552,0.5222318788546768,0.00511779574418931,98,-0.99,0.0101010101010101,99.99999999999991,-229.2102126552792,-221.2617531437751,-221.7435459886125,-225.2102126552792,-214.9907647119168,-211.36405880912537,4249.015704870224,FALSE,TRUE,FALSE
Australia and New Zealand,PORT,no_convergence|NA|NA|NA|NA|bad_sigma_VAE|NA|rho_VAE_on_edge,7.214031894018927e-4,0.9990178652390068,0.9985595356838765,844,FALSE,false convergence (8),3.640186462616315e-15,0.8939393329686226,0.01643995958718301,9.31867387382662e-6,0.05940443854981127,0.39899911080221656,0.6088436042085027,0.0022377683092844,0.6899243938947155,0.00400489250983191,8,-0.99,0.1111111111111111,99.99999999999991,-224.50555143902753,-216.5570919275235,-217.0388847723609,-220.50555143902753,-210.28610349566517,-206.6593975928737,545.8090839385986,FALSE,TRUE,FALSE
Australia and New Zealand,Newton,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|rho_VAE_on_edge,0.02301652456792695,0.9686647783271396,0.9540416748798046,2,TRUE,NA,0.9547906659729344,0.9798338576900768,1.093460215995521e-6,0.99995540842474,0.4090800631903488,0.3353696858903654,0.4110089936249702,0.9638293064408162,1.0815131550700623,0.3189993897473362,-0.99,100,99.99999999999991,0.0099009900990099,-144.8618527819367,-136.91339327043266,-137.39518611527004,-140.8618527819367,-130.64240483857435,-127.01569893578286,43.17995715141296,TRUE,TRUE,FALSE
Brazil,LM,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00246122567353107,0.995664049721088,0.9936406062575956,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,0.02506197980039521,0.8347676341851842,0.00183358935578308,0.4396629661501006,0.29757598208892927,2.0649922566586072e-23,0.9998299878841982,0,1.2739953649281572,1.05555623819904e-35,-0.69,18,3.2258064516129026,0.05263157894736842,-196.27957063882937,-188.33111112732533,-188.8129039721627,-192.27957063882937,-182.06012269546704,-178.43341679267553,1306.216031074524,FALSE,FALSE,FALSE
Brazil,Newton,NA|NA|NA|NA|bad_sigma_KL|bad_sigma_VAE|rho_KL_on_edge|rho_VAE_on_edge,0.07670549975913905,0.8648676402771442,0.8018058724064783,2,TRUE,NA,0.9878369761231258,0.9794387996335736,5.351707268886656e-5,0.99777545261626,0.4670918072005339,0.3925116554092308,0.44542436453999784,0.3848581255252038,0.97007097701576,0.2536619005822419,-0.99,-0.99,99.99999999999991,99.99999999999991,-117.17534993880751,-109.22689042730347,-109.70868327214086,-113.17534993880751,-102.95590199544516,-99.32919609265367,43.47547507286072,TRUE,TRUE,FALSE
