r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime
Argentina,LM,0.0059673001810268194,0.9919724221874593,0.9882262192082736,810,TRUE,Relative error in the sum of squares is at most `ftol'.,0.0022191276933249864,0.7395510829815248,0.003009661090355718,0.04327788440110949,0.4504897297867043,2.1648350595817274e-5,0.0038035506876499263,0.8254968732598043,1.067811937389555,1.8717942792879185e-10,-0.99,42,99.99999999999991,0.023255813953488372,-175.90996271789007,-167.96150320638603,-168.4432960512234,-171.90996271789007,-161.6905147745277,-158.06380887173623,2487.586760044098
Argentina,NM,0.008719764756015424,0.9882696382011206,0.9827954693616435,137,TRUE,,0.017521747473075774,0.874385460943368,0.0020127969236755617,0.5200915220085963,0.515918622088797,0.05288568759203975,0.537269853134559,0.05366359084701676,1.0325216003059123,0.0034307545909633844,-0.99,4,99.99999999999991,0.2,-167.1861164021357,-159.23765689063165,-159.71944973546903,-163.1861164021357,-152.96666845877334,-149.33996255598186,179.13197994232178
Argentina,Nelder-Mead,0.008719764756015424,0.9882696382011206,0.9827954693616435,137,TRUE,,0.017521747473075774,0.874385460943368,0.0020127969236755617,0.5200915220085963,0.515918622088797,0.05288568759203975,0.537269853134559,0.05366359084701676,1.0325216003059123,0.0034307545909633844,-0.99,4,99.99999999999991,0.2,-167.1861164021357,-159.23765689063165,-159.71944973546903,-163.1861164021357,-152.96666845877334,-149.33996255598186,180.49679899215698
Argentina,PORT,0.006062543546259751,0.991844294977106,0.9880382992997555,1815,TRUE,relative convergence (4),0.003802866223295272,0.7573087660117179,0.0027451207474750725,0.08656159190245694,0.44734405570759384,1.2973448693511644e-4,0.01578550549650179,0.7236806502478781,1.0859543265579386,9.358312988637639e-10,-0.99,32,99.99999999999991,0.030303030303030304,-175.54576128306132,-167.59730177155728,-168.07909461639466,-171.54576128306132,-161.32631333969897,-157.69960743690748,3589.004861831665
Argentina,Newton,0.010277683098986636,0.9861738309944461,0.9797216187918543,2,TRUE,,1.0293789724345883,0.8844642953701586,-4.621900860851832e-6,0.9989167917692733,0.5068843518733857,0.048160282900039375,0.5760717025329093,0.054296376748847436,1.0938551479176462,0.0043016664681338294,-0.99,4,99.99999999999991,0.2,-163.4053167145271,-155.45685720302305,-155.93865004786042,-159.4053167145271,-149.18586877116473,-145.55916286837325,41.54986619949341
Argentina,L-BFGS-B,0.008581893496172274,0.9884551110670613,0.9830674962316899,29,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9673929111458132,0.8679806582717075,2.54718590374435e-5,0.99317127680978,0.39193631723442585,0.015706782194620673,0.4683737238802886,0.08173235053585641,1.270975722619746,8.994551480385182e-5,-0.89,6,9.090909090909092,0.14285714285714285,-167.55268312687284,-159.6042236153688,-160.08601646020617,-163.55268312687284,-153.33323518351048,-149.706529280719,41.239402055740356
Argentina,L-BFGS-B,0.008581893496172274,0.9884551110670613,0.9830674962316899,29,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9673929111458132,0.8679806582717075,2.54718590374435e-5,0.99317127680978,0.39193631723442585,0.015706782194620673,0.4683737238802886,0.08173235053585641,1.270975722619746,8.994551480385182e-5,-0.89,6,9.090909090909092,0.14285714285714285,-167.55268312687284,-159.6042236153688,-160.08601646020617,-163.55268312687284,-153.33323518351048,-149.706529280719,41.239402055740356
Australia and New Zealand,LM,5.879534052136179e-4,0.9991995468198811,0.9988260020024923,886,TRUE,Relative error in the sum of squares is at most `ftol'.,2.632222845525266e-18,0.857382026412712,0.020015641657248062,3.4755896271455537e-13,7.843125236414985e-7,0.9892317256696761,0.38093673227986347,0.16689931417317552,0.5222318788546768,0.005117795744189317,98,-0.99,0.010101010101010102,99.99999999999991,-229.21021265527918,-221.26175314377514,-221.7435459886125,-225.21021265527918,-214.99076471191682,-211.36405880912534,4460.83513212204
Australia and New Zealand,NM,0.0018820904182811932,0.9974376791643257,0.996241929441011,297,TRUE,,0.032137027937018926,0.9318474044551719,0.001694804420287807,0.7694663192993186,0.052360577549075346,0.11431162626631965,0.5519773445143754,0.3625075918118306,1.3386214600929802,1.8681664275416584e-5,-0.3899999999999999,46,1.6393442622950818,0.02127659574468085,-202.44992745718787,-194.50146794568383,-194.9832607905212,-198.44992745718787,-188.23047951382551,-184.60377361103403,96.81570816040039
Australia and New Zealand,Nelder-Mead,0.0018820904182811932,0.9974376791643257,0.996241929441011,297,TRUE,,0.032137027937018926,0.9318474044551719,0.001694804420287807,0.7694663192993186,0.052360577549075346,0.11431162626631965,0.5519773445143754,0.3625075918118306,1.3386214600929802,1.8681664275416584e-5,-0.3899999999999999,46,1.6393442622950818,0.02127659574468085,-202.44992745718787,-194.50146794568383,-194.9832607905212,-198.44992745718787,-188.23047951382551,-184.60377361103403,91.89169001579285
