r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,dAICc,wAICc
Argentina,LM,0.0059673001810268194,0.9919724221874593,0.9882262192082736,810,TRUE,Relative error in the sum of squares is at most `ftol'.,0.0022191276933249864,0.7395510829815248,0.003009661090355718,0.04327788440110949,0.4504897297867043,2.1648350595817274e-5,0.0038035506876499263,0.8254968732598043,1.067811937389555,1.8717942792879185e-10,-0.99,42,99.99999999999991,0.023255813953488372,-175.90996271789007,-167.96150320638603,-168.4432960512234,-171.90996271789007,-161.6905147745277,-158.06380887173623,153.69905018806458,0,0.5359124224820008
Argentina,NM,0.00895560313172968,0.9879523739685873,0.9823301484872613,133,TRUE,,0.01765261029283765,0.8784790877231617,0.002006430981438591,0.535152230218276,0.5147884023442598,0.08838054398023457,0.5384643792443413,0.031333707664529906,1.029825108641312,0.00488385405142715,-0.74,2,3.846153846153846,0.3333333333333333,-166.57231253627936,-158.62385302477531,-159.1056458696127,-162.57231253627936,-152.352864592917,-148.72615869012552,10.549087047576904,9.337650181610712,0.005028620369256165
Argentina,Nelder-Mead,0.00895560313172968,0.9879523739685873,0.9823301484872613,133,TRUE,,0.01765261029283765,0.8784790877231617,0.002006430981438591,0.535152230218276,0.5147884023442598,0.08838054398023457,0.5384643792443413,0.031333707664529906,1.029825108641312,0.00488385405142715,-0.74,2,3.846153846153846,0.3333333333333333,-166.57231253627936,-158.62385302477531,-159.1056458696127,-162.57231253627936,-152.352864592917,-148.72615869012552,10.426381826400757,9.337650181610712,0.005028620369256165
Argentina,PORT,0.006062543546259751,0.991844294977106,0.9880382992997555,1815,TRUE,relative convergence (4),0.003802866223295272,0.7573087660117179,0.0027451207474750725,0.08656159190245694,0.44734405570759384,1.2973448693511644e-4,0.01578550549650179,0.7236806502478781,1.0859543265579386,9.358312988637639e-10,-0.99,32,99.99999999999991,0.030303030303030304,-175.54576128306132,-167.59730177155728,-168.07909461639466,-171.54576128306132,-161.32631333969897,-157.69960743690748,559.4985949993134,0.36420143482874323,0.4466923217650728
Argentina,Newton,0.014442566248244618,0.9805709750048794,0.9715040966738232,3,TRUE,,1.0413657734540802,0.8959982210011515,-1.6647221413650525e-5,0.9964902153201899,0.5731187346288575,0.07645292821267774,0.45436422067635723,0.41221964528194416,0.9120863722619985,0.03725923134648836,-0.99,12,99.99999999999991,0.07692307692307693,-155.58060216192436,-147.63214265042032,-148.1139354952577,-151.58060216192436,-141.361154218562,-137.73444831577052,4.343528985977173,20.329360555965707,2.0636178181199928e-5
Argentina,CG,0.010918530444820329,0.9853117238809147,0.9784571950253416,2226,FALSE,,0.9982390192412199,0.8896070230638152,1.2422367535079224e-6,0.9997218581103631,0.5746399327956045,0.12848995835078428,0.5361094441134088,0.020013245476920356,1.0821534390439063,0.007707426359157772,-0.99,0.26,99.99999999999991,0.7936507936507936,-162.0141264909152,-154.06566697941116,-154.54745982424853,-158.0141264909152,-147.79467854755285,-144.16797264476136,174.94481420516968,13.895836226974865,5.148151593339037e-4
Argentina,CG,0.010918530444820329,0.9853117238809147,0.9784571950253416,501,FALSE,,0.9982390192412199,0.8896070230638152,1.2422367535079224e-6,0.9997218581103631,0.5746399327956045,0.12848995835078428,0.5361094441134088,0.020013245476920356,1.0821534390439063,0.007707426359157772,-0.99,0.26,99.99999999999991,0.7936507936507936,-162.0141264909152,-154.06566697941116,-154.54745982424853,-158.0141264909152,-147.79467854755285,-144.16797264476136,174.94481420516968,13.895836226974865,5.148151593339037e-4
Argentina,L-BFGS-B,0.009328945395386291,0.9874501310813025,0.9815935255859104,15,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9826767564021753,0.8805016720120985,1.2497904438779655e-5,0.9969695946580448,0.5086701450484957,0.0740392522073958,0.5086647620823125,0.027988158432349513,1.15591890324125,0.001893767206308144,-0.99,2,99.99999999999991,0.3333333333333333,-165.63293296371407,-157.68447345221003,-158.1662662970474,-161.63293296371407,-151.41348502035171,-147.78677911756023,4.695797920227051,10.277029754175999,0.0031438742587825367
Argentina,L-BFGS-B,0.009328945395386291,0.9874501310813025,0.9815935255859104,15,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9826767564021753,0.8805016720120985,1.2497904438779655e-5,0.9969695946580448,0.5086701450484957,0.0740392522073958,0.5086647620823125,0.027988158432349513,1.15591890324125,0.001893767206308144,-0.99,2,99.99999999999991,0.3333333333333333,-165.63293296371407,-157.68447345221003,-158.1662662970474,-161.63293296371407,-151.41348502035171,-147.78677911756023,4.695797920227051,10.277029754175999,0.0031438742587825367
Australia and New Zealand,LM,5.914509849353348e-4,0.99919478513505,0.9988190181980733,860,TRUE,Relative error in the sum of squares is at most `ftol'.,1.9046761992646724e-18,0.8607595462134062,0.020175599079907337,8.233754568339881e-13,8.230321981148877e-6,0.9854574825720225,0.3646006853854415,0.21020933398408834,0.5114408532323917,0.0070843231416740215,82,-0.74,0.012048192771084338,3.846153846153846,-229.07379707111744,-221.1253375596134,-221.60713040445077,-225.07379707111744,-214.85434912775509,-211.2276432249636,307.04589319229126,0,0.9886431116681296
Australia and New Zealand,NM,0.02748089610638032,0.9625868810592617,0.9451274255535839,241,TRUE,,0.025238708982423697,0.9821300743342487,0.0017943510637022089,0.9352310646478119,0.49945597358702387,0.4416401902801051,0.5265141887614149,0.9007296947955569,0.9405825632426712,0.4360294618181928,-0.99,52,99.99999999999991,0.018867924528301886,-140.78444362978553,-132.8359841182815,-133.31777696311886,-136.78444362978553,-126.56499568642317,-122.93828978363169,9.432110071182251,88.28935344133191,6.656562891398723e-20
Australia and New Zealand,Nelder-Mead,0.02748089610638032,0.9625868810592617,0.9451274255535839,241,TRUE,,0.025238708982423697,0.9821300743342487,0.0017943510637022089,0.9352310646478119,0.49945597358702387,0.4416401902801051,0.5265141887614149,0.9007296947955569,0.9405825632426712,0.4360294618181928,-0.99,52,99.99999999999991,0.018867924528301886,-140.78444362978553,-132.8359841182815,-133.31777696311886,-136.78444362978553,-126.56499568642317,-122.93828978363169,8.962568998336792,88.28935344133191,6.656562891398723e-20
Australia and New Zealand,PORT,8.721762627449176e-4,0.9988125993370431,0.9982584790276633,324,FALSE,false convergence (8),2.291713310129055e-14,0.896284620104924,0.01552900602152455,4.246001945684813e-5,0.10358420609975495,0.2114177002564197,0.5341825936426797,0.13602531096095827,0.6104816232662341,0.007847182862988009,2,12,0.3333333333333333,0.07692307692307693,-220.1403043874244,-212.19184487592037,-212.67363772075774,-216.1403043874244,-205.92085644406205,-202.29415054127057,65.82508420944214,8.933492683693032,0.011354192589720043
