r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime
Argentina,LM,0.0059673001810268194,0.9919724221874593,0.9882262192082736,810,TRUE,Relative error in the sum of squares is at most `ftol'.,0.0022191276933249864,0.7395510829815248,0.003009661090355718,0.04327788440110949,0.4504897297867043,2.1648350595817274e-5,0.0038035506876499263,0.8254968732598043,1.067811937389555,1.8717942792879185e-10,-0.99,42,99.99999999999991,0.023255813953488372,-175.90996271789007,-167.96150320638603,-168.4432960512234,-171.90996271789007,-161.6905147745277,-158.06380887173623,153.69905018806458
Australia and New Zealand,LM,5.914509849353348e-4,0.99919478513505,0.9988190181980733,860,TRUE,Relative error in the sum of squares is at most `ftol'.,1.9046761992646724e-18,0.8607595462134062,0.020175599079907337,8.233754568339881e-13,8.230321981148877e-6,0.9854574825720225,0.3646006853854415,0.21020933398408834,0.5114408532323917,0.0070843231416740215,82,-0.74,0.012048192771084338,3.846153846153846,-229.07379707111744,-221.1253375596134,-221.60713040445077,-225.07379707111744,-214.85434912775509,-211.2276432249636,307.04589319229126
Brazil,PORT,0.002156947549583026,0.9962000976059235,0.9944268098220211,3281,TRUE,relative convergence (4),22.605836366969047,0.8547334485385936,-0.0015342415487445396,0.5702576142002633,0.27626387550038717,2.1005347327755014e-23,0.997219200966499,0,1.4085462526281793,3.117073300485537e-40,0.010000000000000009,12,0.9900990099009901,0.07692307692307693,-199.31477521598146,-191.36631570447742,-191.8481085493148,-195.31477521598146,-185.0953272726191,-181.46862136982762,480.80276679992676
Canada,LM,0.0017694932970859993,0.994679482415816,0.9921965742098635,891,TRUE,Relative error in the sum of squares is at most `ftol'.,5.765748346998241e-12,0.7270659603738819,0.012788992632943797,1.7569657024459482e-19,0.7706676874754632,0.6019753468082671,0.3220923334088712,0.16203456049965637,0.5723022650200869,1.162307597329656e-6,82,-0.24,0.012048192771084338,1.3157894736842106,-203.86879402927076,-195.92033451776672,-196.4021273626041,-199.86879402927076,-189.6493460859084,-186.02264018311692,99.23835587501526
Caribbean Extended,LM,0.0031709382218653493,0.9968616331930427,0.9953970620164626,433,TRUE,Relative error in the sum of squares is at most `ftol'.,3.176780645669382e-10,0.9184530717448337,0.010809093938120315,0.025271736891698187,0.03814979489663552,0.47310442176260953,0.7280038310260105,1.429131203194667e-4,1.5993871341195554,8.247160757804184e-6,2,-0.99,0.3333333333333333,99.99999999999991,-190.45210558070076,-182.50364606919672,-182.9854389140341,-186.45210558070076,-176.2326576373384,-172.60595173454692,216.952388048172
Central America,PORT,8.484178377548817e-4,0.9994206649957836,0.9991503086604827,641,TRUE,relative convergence (4),1.6744085963281947e-13,0.8923022857373906,0.014548219969661668,6.810589332310764e-5,0.3047728079845358,0.004198720636311468,0.9628944211611793,1.8690162915856523e-38,0.7742075760217103,3.127474966384758e-6,2,22,0.3333333333333333,0.043478260869565216,-220.7755251038225,-212.82706559231846,-213.30885843715583,-216.7755251038225,-206.55607716046015,-202.92937125766866,80.60450005531311
Central Asia Extended,NM,0.022444056325581455,0.9938585753644475,0.9909925772011897,223,TRUE,,0.018681498480355947,0.9579352792649941,0.0019754972560565693,0.8331008046092606,0.5121839037587892,0.08939203224573941,0.5302771353304401,0.6857247188108022,1.0151261694602214,0.05949921645562909,0.26,62,0.7936507936507936,0.015873015873015872,-145.44114435066933,-137.4926848391653,-137.97447768400266,-141.44114435066933,-131.22169640730698,-127.5949905045155,13.884052991867065
Chile,LM,0.003892225936183689,0.9969468112082782,0.9955219897721413,267,TRUE,Relative error in the sum of squares is at most `ftol'.,1.026509861254606e-13,0.7755540417427844,0.014792174858124823,1.575752301413978e-17,0.33995810199222515,6.726480217450749e-4,1.0396356922514631,2.7351231734515134e-8,0.5977363367394807,1.3809211569271168e-11,0.51,42,0.6622516556291391,0.023255813953488372,-185.73817045926916,-177.78971094776512,-178.2715037926025,-181.73817045926916,-171.5187225159068,-167.89201661311532,86.93144083023071
China,NM,0.052424229130261665,0.9924512748173349,0.9889285363987578,805,TRUE,,0.026929697979155835,0.9735267897204669,0.0018402877331968684,0.9016592198384061,-0.0014700283412417523,0.9895238665370057,-3.474659817820731,0.556748878709543,0.6290791228921311,0.5053475281291866,0.010000000000000009,0.51,0.9900990099009901,0.6622516556291391,-125.92925431682332,-117.98079480531928,-118.46258765015665,-121.92925431682332,-111.70980637346096,-108.08310047066948,16.99340510368347
EU27,NM,0.008449535873220407,0.9973591054855553,0.9961266880454811,347,TRUE,,0.019881468755605126,0.970038210150321,0.0019322905163964325,0.8833322930075183,0.48739358126056387,0.9772734281586123,0.11043601681938427,0.17973041348481486,1.4331896993073638,0.005506174713005451,82,0.26,0.012048192771084338,0.7936507936507936,-167.91017356982667,-159.96171405832263,-160.44350690316,-163.91017356982667,-153.6907256264643,-150.06401972367283,10.997522830963135
