rho1,rho,rss,convergence,r,method
-0.99,-0.99,0.008502166030646923,TRUE,Argentina,LM
-0.74,-0.99,0.008451346731962869,TRUE,Argentina,LM
-0.49,-0.99,0.008387146654159391,TRUE,Argentina,LM
-0.24,-0.99,0.008370088832430152,TRUE,Argentina,LM
0.010000000000000009,-0.99,0.008365925753011911,TRUE,Argentina,LM
0.26,-0.99,0.008366519968074278,TRUE,Argentina,LM
0.51,-0.99,0.008369264352350053,TRUE,Argentina,LM
0.76,-0.99,0.008373129323653403,TRUE,Argentina,LM
2,-0.99,0.008398085601307432,TRUE,Argentina,LM
12,-0.99,0.008510428006837677,TRUE,Argentina,LM
22,-0.99,0.008523185972324564,TRUE,Argentina,LM
32,-0.99,0.026763706185747516,TRUE,Argentina,LM
42,-0.99,0.02692275645573073,TRUE,Argentina,LM
52,-0.99,0.027158559772661368,TRUE,Argentina,LM
62,-0.99,0.008526223092552097,TRUE,Argentina,LM
72,-0.99,0.008526268947170875,TRUE,Argentina,LM
82,-0.99,0.027942330083160747,TRUE,Argentina,LM
92,-0.99,0.028067922211787923,TRUE,Argentina,LM
-0.99,-0.74,0.008433186133459834,TRUE,Argentina,LM
-0.74,-0.74,0.0085498600740714,TRUE,Argentina,LM
-0.49,-0.74,0.008232609053971086,TRUE,Argentina,LM
-0.24,-0.74,0.00818272759765438,TRUE,Argentina,LM
0.010000000000000009,-0.74,0.008172668700781975,TRUE,Argentina,LM
0.26,-0.74,0.008174573798977958,TRUE,Argentina,LM
0.51,-0.74,0.008181099770683225,TRUE,Argentina,LM
0.76,-0.74,0.008189742843295971,TRUE,Argentina,LM
2,-0.74,0.008242060084572025,TRUE,Argentina,LM
12,-0.74,0.008499437305375867,TRUE,Argentina,LM
22,-0.74,0.008542697774798411,TRUE,Argentina,LM
32,-0.74,0.02671227281974104,TRUE,Argentina,LM
42,-0.74,0.026909931034605254,TRUE,Argentina,LM
52,-0.74,0.027136496246721202,TRUE,Argentina,LM
62,-0.74,0.02733951178118788,TRUE,Argentina,LM
72,-0.74,0.027573550326609,TRUE,Argentina,LM
82,-0.74,0.027887604067751284,TRUE,Argentina,LM
92,-0.74,0.028197551767967077,TRUE,Argentina,LM
-0.99,-0.49,0.008371314682087846,TRUE,Argentina,LM
-0.74,-0.49,0.008553830749823466,TRUE,Argentina,LM
-0.49,-0.49,0.008718306936999438,TRUE,Argentina,LM
-0.24,-0.49,0.008012654527735414,TRUE,Argentina,LM
0.010000000000000009,-0.49,0.00799041111571529,TRUE,Argentina,LM
0.26,-0.49,0.007992995895715642,TRUE,Argentina,LM
