r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime
Argentina,NM,0.008662459774152986,0.9883467283737265,0.9829085349481322,139,TRUE,,0.017648432374107164,0.8751366504081435,0.0020075474346674133,0.5236842888412424,0.5149786961274382,0.06621768257507817,0.5379127928225655,0.04219344259956221,1.030508008561366,0.0037397691218494485,-0.99,3,99.99999999999991,0.25,-167.3377678038968,-159.38930829239277,-159.87110113723014,-163.3377678038968,-153.11831986053446,-149.49161395774297,580.1458032131195
Australia and New Zealand,NM,0.0018820904182811932,0.9974376791643257,0.996241929441011,297,TRUE,,0.032137027937018926,0.9318474044551719,0.001694804420287807,0.7694663192993186,0.052360577549075346,0.11431162626631965,0.5519773445143754,0.3625075918118306,1.3386214600929802,1.8681664275416584e-5,-0.3899999999999999,46,1.6393442622950818,0.02127659574468085,-202.44992745718787,-194.50146794568383,-194.9832607905212,-198.44992745718787,-188.23047951382551,-184.60377361103403,411.3548309803009
Brazil,NM,0.004516055742156896,0.992044048067037,0.988331270498321,451,TRUE,,0.06240610140903756,0.912775078567342,0.001383996374657921,0.759263965341692,0.301266553624706,2.8963266585787958e-15,0.9482059029133802,6.4535859606656565e-18,1.2451440422869626,2.352101988176481e-10,0.81,0.41000000000000014,0.5524861878453039,0.7092198581560283,-182.31904162514792,-174.37058211364388,-174.85237495848125,-178.31904162514792,-168.09959368178556,-164.47288777899408,573.1291589736938
Canada,NM,0.023760876631199766,0.9285557271451028,0.8952150664794841,145,TRUE,,0.0175928531776243,0.925289510842771,0.001963795593649849,0.7096129154124091,0.5093516170426724,0.74090588073811,0.5367241081720229,0.19264069005470877,1.0337339569950075,0.026073704038263024,100,0.41000000000000014,0.009900990099009901,0.7092198581560283,-144.12980943443364,-136.1813499229296,-136.66314276776697,-140.12980943443364,-129.91036149107128,-126.2836555882798,345.3197751045227
Caribbean Extended,NM,0.009670336693597913,0.9904289955944219,0.9859625268718187,517,TRUE,,0.011712114705014647,0.971882103905073,0.0021804065698888594,0.87648942342844,0.10249039960518216,0.38443471476226404,0.6481253996963448,0.6412973460152183,1.6029525078220366,0.08877424261724391,0.1100000000000001,67,0.9009009009009008,0.014705882352941176,-164.80628645678638,-156.85782694528234,-157.3396197901197,-160.80628645678638,-150.58683851342403,-146.96013261063254,538.7395808696747
Central America,NM,0.01031677529820952,0.9929552765218808,0.9896677388987585,223,TRUE,,0.01324214416211625,0.9622202303325764,0.0021357509055192885,0.837931093009951,0.5469640691403177,0.41005613287945214,0.5134005609696749,0.08664579148281605,1.086905469099076,0.022177053025318784,5,6,0.16666666666666666,0.14285714285714285,-163.31799986018993,-155.3695403486859,-155.85133319352326,-159.31799986018993,-149.09855191682757,-145.4718460140361,423.1167697906494
Central Asia Extended,NM,0.020639774302897283,0.9943522856770066,0.9917166856596097,261,TRUE,,0.01648502130881659,0.9584433261300531,0.002038078706317528,0.8299502776608925,0.5760578386229489,0.09540789814906807,0.49365101980241033,0.2537371812545858,1.0536014489713776,0.03166832123494822,-0.08999999999999997,15,1.0989010989010988,0.0625,-147.36867825378175,-139.4202187422777,-139.90201158711508,-143.36867825378175,-133.1492303104194,-129.5225244076279,498.76997900009155
Chile,NM,0.012231319190653348,0.9904053548603887,0.9859278537952368,487,TRUE,,0.012095144581758234,0.8823730901174832,0.002180871411496592,0.5143230554079959,0.19125142801482847,0.25378976619296306,0.5861766034064969,0.17597221365514518,1.2122378362767985,3.94940596474955e-11,0.6100000000000001,16,0.6211180124223602,0.058823529411764705,-159.40274277546897,-151.45428326396492,-151.9360761088023,-155.40274277546897,-145.1832948321066,-141.55658892931513,548.6972441673279
China,NM,0.052424229130261665,0.9924512748173349,0.9889285363987578,805,TRUE,,0.026929697979155835,0.9735267897204669,0.0018402877331968684,0.9016592198384061,-0.0014700283412417523,0.9895238665370057,-3.474659817820731,0.556748878709543,0.6290791228921311,0.5053475281291866,0.010000000000000009,0.51,0.9900990099009901,0.6622516556291391,-125.92925431682332,-117.98079480531928,-118.46258765015665,-121.92925431682332,-111.70980637346096,-108.08310047066948,615.347815990448
EU27,NM,0.0070776534689650705,0.9977878860446561,0.9967555661988289,405,TRUE,,0.014505015953980242,0.9804823000998811,0.002093094299948337,0.9175356055036007,0.25021613594792463,0.07412707941728745,0.62121524960096,0.7101042766118062,1.3454795459172013,0.09069393330760024,-0.99,56,99.99999999999991,0.017543859649122806,-171.98506268079785,-164.0366031692938,-164.51839601413118,-167.98506268079785,-157.7656147374355,-154.138908834644,516.5377490520477
