r,method,parameter,Estimate,Std. Error,t value,Pr(>|t|)
Argentina,NM,gamma,0.017648432374107164,0.1123121857944379,0.157137288792586,0.8751366504081435
Argentina,NM,lambda,0.0020075474346674133,0.0031482224107763847,0.6376764957251959,0.5236842888412424
Argentina,NM,delta_1,0.5149786961274382,0.2803448467511784,1.836947252982718,0.06621768257507817
Argentina,NM,delta,0.5379127928225655,0.26477205184069563,2.031607146913714,0.04219344259956221
Argentina,NM,rho_1,-0.99,0.6556926643299972,-1.5098537071656981,0.13108075724392146
Argentina,NM,rho,3,9.138751472631546,0.32827241324860496,0.7427057005238982
Argentina,NM,nu,1.030508008561366,0.3554313333178273,2.8993167229853762,0.0037397691218494485
Australia and New Zealand,NM,gamma,0.032137027937018926,0.37578049939571884,0.08552074412774878,0.9318474044551719
Australia and New Zealand,NM,lambda,0.001694804420287807,0.005782873747875076,0.2930730453713545,0.7694663192993186
Australia and New Zealand,NM,delta_1,0.052360577549075346,0.03315835686860662,1.5791065207651722,0.11431162626631965
Australia and New Zealand,NM,delta,0.5519773445143754,0.6061706337024012,0.9105973035067352,0.3625075918118306
Australia and New Zealand,NM,rho_1,-0.3899999999999999,3.468279944151883,-0.11244767039569775,0.9104684594650875
Australia and New Zealand,NM,rho,46,85.9716472807104,0.5350601210397081,0.5926082847417837
Australia and New Zealand,NM,nu,1.3386214600929802,0.31275535032744756,4.2800913195936525,1.8681664275416584e-5
Brazil,NM,gamma,0.06240610140903756,0.5697164004627008,0.10953888874947927,0.912775078567342
Brazil,NM,lambda,0.001383996374657921,0.004516259663938355,0.3064474759298986,0.759263965341692
Brazil,NM,delta_1,0.301266553624706,0.03815773925223333,7.8952935768350905,2.8963266585787958e-15
Brazil,NM,delta,0.9482059029133802,0.1099469700710772,8.624211311147505,6.4535859606656565e-18
Brazil,NM,rho_1,0.81,1.3300012842970117,0.6090219682969219,0.5425098776780901
Brazil,NM,rho,0.41000000000000014,7.561136307760135,0.05422465398212826,0.9567561785396065
Brazil,NM,nu,1.2451440422869626,0.19650683485530573,6.336390503688088,2.352101988176481e-10
Canada,NM,gamma,0.0175928531776243,0.18761115090781616,0.09377296121523529,0.925289510842771
Canada,NM,lambda,0.001963795593649849,0.005273689921851568,0.37237600669558696,0.7096129154124091
Canada,NM,delta_1,0.5093516170426724,1.5404370588449356,0.3306539622103087,0.74090588073811
Canada,NM,delta,0.5367241081720229,0.4119751766780816,1.3028069130277244,0.19264069005470877
Canada,NM,rho_1,100,646.9867855842208,0.15456266221836554,0.8771661074177364
Canada,NM,rho,0.41000000000000014,7.740555859231581,0.05296777227064693,0.9577575856547025
Canada,NM,nu,1.0337339569950075,0.464576095019381,2.2251122433492463,0.026073704038263024
Caribbean Extended,NM,gamma,0.011712114705014647,0.33227880167616836,0.03524785404886893,0.971882103905073
Caribbean Extended,NM,lambda,0.0021804065698888594,0.014029033772677744,0.1554210079767084,0.87648942342844
Caribbean Extended,NM,delta_1,0.10249039960518216,0.11783834211067716,0.8697542562922367,0.38443471476226404
Caribbean Extended,NM,delta,0.6481253996963448,1.391168381427955,0.46588566010325866,0.6412973460152183
Caribbean Extended,NM,rho_1,0.1100000000000001,1.588735644339058,0.06923744701766418,0.9448006162035624
Caribbean Extended,NM,rho,67,422.7777107811893,0.15847571499500404,0.8740819554599644
Caribbean Extended,NM,nu,1.6029525078220366,0.9418609465351742,1.7018993235878623,0.08877424261724391
Central America,NM,gamma,0.01324214416211625,0.2795610659048515,0.04736762653002335,0.9622202303325764
Central America,NM,lambda,0.0021357509055192885,0.010441698299178036,0.2045405684329544,0.837931093009951
Central America,NM,delta_1,0.5469640691403177,0.663956648243078,0.8237948525519867,0.41005613287945214
Central America,NM,delta,0.5134005609696749,0.29964495652713435,1.7133629309832348,0.08664579148281605
Central America,NM,rho_1,5,7.419388677409849,0.673909969863653,0.5003685532510153
Central America,NM,rho,6,7.381257635528858,0.8128696078998342,0.4162928211741234
Central America,NM,nu,1.086905469099076,0.4751869712785276,2.287321696078224,0.022177053025318784
Central Asia Extended,NM,gamma,0.01648502130881659,0.3163678189608653,0.05210713707532872,0.9584433261300531
Central Asia Extended,NM,lambda,0.002038078706317528,0.009489793438589045,0.21476533915163407,0.8299502776608925
