year,region,total_factor_productivity,share_capital_valueadded,share_valueadded_output,elasticity_substitution_capital_labour,elasticity_substitution_valueadded_energy,valueadded_CES_exponent,output_CES_exponent,gamma_parameter,nu_parameter,converged
2000,Argentina,0.9782270802115108,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2001,Argentina,0.9801928900449306,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2002,Argentina,0.9821626502988401,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2003,Argentina,0.9841363689118616,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2004,Argentina,0.9861140538385718,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2005,Argentina,0.9880957130495294,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2006,Argentina,0.9900813545313139,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2007,Argentina,0.9920709862865527,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2008,Argentina,0.9940646163339552,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2009,Argentina,0.9960622527083464,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2010,Argentina,0.9980639034606942,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2011,Argentina,1.0000695766581487,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2012,Argentina,1.0020792803840706,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2013,Argentina,1.004093022738064,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2014,Argentina,1.0061108118360114,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2015,Argentina,1.0081326558101014,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2016,Argentina,1.0101585628088676,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2017,Argentina,1.012188540997218,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2018,Argentina,1.014222598556468,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2019,Argentina,1.016260743684375,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2020,Argentina,1.0183029845951677,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2021,Argentina,1.0203493295195847,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2022,Argentina,1.0223997867049033,0.5149786961274382,0.5379127928225655,99.99999999999991,0.25,-0.99,3,0.017648432374107164,1.030508008561366,TRUE
2000,Australia and New Zealand,0.9530026879913143,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2001,Australia and New Zealand,0.9546192106173778,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2002,Australia and New Zealand,0.9562384752560644,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2003,Australia and New Zealand,0.95786048655849,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2004,Australia and New Zealand,0.9594852491836591,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2005,Australia and New Zealand,0.9611127677984791,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2006,Australia and New Zealand,0.962743047077774,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2007,Australia and New Zealand,0.9643760917042974,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2008,Australia and New Zealand,0.9660119063687455,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2009,Australia and New Zealand,0.9676504957697712,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2010,Australia and New Zealand,0.9692918646139981,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2011,Australia and New Zealand,0.9709360176160324,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2012,Australia and New Zealand,0.9725829594984781,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2013,Australia and New Zealand,0.9742326949919496,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2014,Australia and New Zealand,0.9758852288350855,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2015,Australia and New Zealand,0.9775405657745627,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2016,Australia and New Zealand,0.9791987105651089,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2017,Australia and New Zealand,0.9808596679695177,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2018,Australia and New Zealand,0.9825234427586611,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2019,Australia and New Zealand,0.9841900397115035,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2020,Australia and New Zealand,0.9858594636151163,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2021,Australia and New Zealand,0.9875317192646902,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2022,Australia and New Zealand,0.9892068114635504,0.052360577549075346,0.5519773445143754,1.6393442622950818,0.02127659574468085,-0.3899999999999999,46,0.032137027937018926,1.3386214600929802,TRUE
2000,Brazil,0.993919083985749,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2001,Brazil,0.9952956167331319,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2002,Brazil,0.9966740559157922,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2003,Brazil,0.9980544041740561,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2004,Brazil,0.9994366641519061,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2005,Brazil,1.0008208384969877,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2006,Brazil,1.0022069298606122,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2007,Brazil,1.0035949408977634,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2008,Brazil,1.0049848742671006,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2009,Brazil,1.0063767326309683,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2010,Brazil,1.0077705186553951,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2011,Brazil,1.0091662350101043,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2012,Brazil,1.010563884368514,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2013,Brazil,1.011963469407748,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2014,Brazil,1.013364992808636,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2015,Brazil,1.01476845725572,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2016,Brazil,1.0161738654372614,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2017,Brazil,1.0175812200452434,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2018,Brazil,1.018990523775379,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2019,Brazil,1.0204017793271134,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2020,Brazil,1.0218149894036308,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2021,Brazil,1.0232301567118585,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2022,Brazil,1.0246472839624745,0.301266553624706,0.9482059029133802,0.5524861878453039,0.7092198581560283,0.81,0.41000000000000014,0.06240610140903756,1.2451440422869626,TRUE
2000,Canada,0.8934442498613634,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2001,Canada,0.895200515651504,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2002,Canada,0.8969602337773963,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2003,Canada,0.8987234110253823,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2004,Canada,0.9004900541951464,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2005,Canada,0.902260170099737,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2006,Canada,0.9040337655655969,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2007,Canada,0.9058108474325868,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2008,Canada,0.9075914225540125,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2009,Canada,0.9093754977966525,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2010,Canada,0.911163080040783,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2011,Canada,0.9129541761802038,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2012,Canada,0.9147487931222685,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2013,Canada,0.9165469377879065,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2014,Canada,0.9183486171116524,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2015,Canada,0.92015383804167306,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2016,Canada,0.9219626075397923,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2017,Canada,0.9237749325815193,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2018,Canada,0.9255908201560763,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2019,Canada,0.9274102772664223,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2020,Canada,0.9292333109292846,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2021,Canada,0.9310599281751817,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2022,Canada,0.9328901360484523,0.5093516170426724,0.5367241081720229,0.009900990099009901,0.7092198581560283,100,0.41000000000000014,0.0175928531776243,1.0337339569950075,TRUE
2000,Caribbean Extended,0.9173021265199675,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2001,Caribbean Extended,0.91930440019528,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2002,Caribbean Extended,0.9213110444043077,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2003,Caribbean Extended,0.9233220686869874,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2004,Caribbean Extended,0.9253374826040802,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2005,Caribbean Extended,0.9273572957372156,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2006,Caribbean Extended,0.9293815176889383,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2007,Caribbean Extended,0.9314101580827531,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2008,Caribbean Extended,0.9334432265631708,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2009,Caribbean Extended,0.9354807327957532,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2010,Caribbean Extended,0.9375226864671625,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2011,Caribbean Extended,0.9395690972852024,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2012,Caribbean Extended,0.9416199749788675,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2013,Caribbean Extended,0.9436753292983885,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2014,Caribbean Extended,0.9457351700152791,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2015,Caribbean Extended,0.9477995069223816,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2016,Caribbean Extended,0.9498683498339145,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2017,Caribbean Extended,0.9519417085855183,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2018,Caribbean Extended,0.954019593034303,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2019,Caribbean Extended,0.9561020130588938,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2020,Caribbean Extended,0.9581889785594787,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2021,Caribbean Extended,0.960280499457858,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2022,Caribbean Extended,0.9623765856974865,0.10249039960518216,0.6481253996963448,0.9009009009009008,0.014705882352941176,0.1100000000000001,67,0.011712114705014647,1.6029525078220366,TRUE
2000,Central America,0.9485232431252782,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2001,Central America,0.9505512173537142,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2002,Central America,0.9525835274584726,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2003,Central America,0.9546201827098013,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2004,Central America,0.956661192397768,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2005,Central America,0.9587065658323038,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2006,Central America,0.9607563123432425,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2007,Central America,0.9628104412803675,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2008,Central America,0.9648689620134517,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2009,Central America,0.9669318839323017,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2010,Central America,0.9689992164467973,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2011,Central America,0.9710709689869397,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2012,Central America,0.9731471510028902,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2013,Central America,0.9752277719650158,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2014,Central America,0.9773128413639315,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2015,Central America,0.9794023687105416,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2016,Central America,0.9814963635360872,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2017,Central America,0.9835948353921868,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2018,Central America,0.9856977938508809,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2019,Central America,0.9878052485046752,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2020,Central America,0.9899172089665832,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2021,Central America,0.9920336848701731,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2022,Central America,0.9941546858696092,0.5469640691403177,0.5134005609696749,0.16666666666666666,0.14285714285714285,5,6,0.01324214416211625,1.086905469099076,TRUE
2000,Central Asia Extended,0.9712749421121323,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2001,Central Asia Extended,0.9732564954845889,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2002,Central Asia Extended,0.9752420915370293,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2003,Central Asia Extended,0.977231738517157,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2004,Central Asia Extended,0.9792254446894992,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2005,Central Asia Extended,0.9812232183354458,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2006,Central Asia Extended,0.9832250677532814,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2007,Central Asia Extended,0.9852310012582206,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2008,Central Asia Extended,0.9872410271824411,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2009,Central Asia Extended,0.989255153875123,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2010,Central Asia Extended,0.9912733897024766,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2011,Central Asia Extended,0.9932957430477818,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2012,Central Asia Extended,0.9953222223114215,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2013,Central Asia Extended,0.9973528359109173,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
2014,Central Asia Extended,0.9993875922809623,0.5760578386229489,0.49365101980241033,1.0989010989010988,0.0625,-0.08999999999999997,15,0.01648502130881659,1.0536014489713776,TRUE
