r,t,fitted
Argentina,1,0.7723936762922615
Argentina,2,0.7089055947611347
Argentina,3,0.65014717016098
Argentina,4,0.7213064566781897
Argentina,5,0.8086884753402409
Argentina,6,0.8648074898681206
Argentina,7,0.9226097214703907
Argentina,8,0.9927274168744916
Argentina,9,1.052495806156577
Argentina,10,0.9482302883505105
Argentina,11,1.0538165594979134
Argentina,12,1.1452661112470306
Argentina,13,1.1293318386095317
Argentina,14,1.1366547480870042
Argentina,15,1.1089478337601144
Argentina,16,1.146759487614796
Argentina,17,1.1227642091576482
Argentina,18,1.1835522553614408
Argentina,19,1.1382352167361267
Argentina,20,1.0739707659543223
Argentina,21,1.013046768969111
Argentina,22,1.1291647062427652
Argentina,23,1.1720023248306133
Australia and New Zealand,1,0.7219970004337808
Australia and New Zealand,2,0.7351263658023407
Australia and New Zealand,3,0.760116819361762
Australia and New Zealand,4,0.7870724826620039
Australia and New Zealand,5,0.8124717207998642
Australia and New Zealand,6,0.8378637399794363
Australia and New Zealand,7,0.8647756609567989
Australia and New Zealand,8,0.8950353375784991
Australia and New Zealand,9,0.9247373416608063
Australia and New Zealand,10,0.9461440362610306
Australia and New Zealand,11,0.9706737325148301
Australia and New Zealand,12,0.9987656120051076
Australia and New Zealand,13,1.0288464302749647
Australia and New Zealand,14,1.0553598945483675
Australia and New Zealand,15,1.078824949566757
Australia and New Zealand,16,1.1014533636545034
Australia and New Zealand,17,1.1248747253613143
Australia and New Zealand,18,1.1561966976196187
Australia and New Zealand,19,1.1918889480099903
Australia and New Zealand,20,1.2187317279497196
Australia and New Zealand,21,1.228348338399413
Australia and New Zealand,22,1.2601717070104397
Australia and New Zealand,23,1.2992079171357487
Brazil,1,0.7298524108385823
Brazil,2,0.7516578145252764
Brazil,3,0.7737266862443246
Brazil,4,0.7796988916187485
Brazil,5,0.8213524720830545
Brazil,6,0.8502459963143021
Brazil,7,0.8811527965306254
Brazil,8,0.9281448994659867
Brazil,9,0.9840462790303445
Brazil,10,0.9952533386905149
Brazil,11,1.062998467284307
Brazil,12,1.0942340545402667
Brazil,13,1.109016231873635
Brazil,14,1.1529284867307499
Brazil,15,1.144863508403943
Brazil,16,1.095951858855981
Brazil,17,1.0611904993254517
Brazil,18,1.0701920976827057
Brazil,19,1.10352688135329
Brazil,20,1.1391157748859897
Brazil,21,1.0832863144987044
Brazil,22,1.1756321877384919
Brazil,23,1.208352781160123
Canada,1,0.7994604886557485
Canada,2,0.8068619357392747
Canada,3,0.8341772811814118
Canada,4,0.8621451876894746
Canada,5,0.8870748949875835
Canada,6,0.906904250598802
Canada,7,0.9145938228882057
Canada,8,0.9447752155616082
Canada,9,0.9544359898309034
Canada,10,0.9368743706305003
Canada,11,0.9678335744936282
Canada,12,1.001572641432798
Canada,13,1.014561778445933
Canada,14,1.0432724406945708
Canada,15,1.067668529629302
Canada,16,1.06999159031778
Canada,17,1.0798228231933253
Canada,18,1.1144461805987582
Canada,19,1.1473693220136587
Canada,20,1.1582037658100721
Canada,21,1.1278528335495301
Canada,22,1.1630565883286572
Canada,23,1.1954953672276611
