r,t,residuals
Argentina,1,-0.0045597103068029665
Argentina,2,0.03612267061757629
Argentina,3,0.007297446248863748
Argentina,4,-0.011886831565900369
Argentina,5,-0.039787290995584396
Argentina,6,-0.02206465656968032
Argentina,7,-0.009366820579248591
Argentina,8,0.003631787343832529
Argentina,9,-0.015060824440562115
Argentina,10,0.028251685302301023
Argentina,11,0.019125127942854793
Argentina,12,-0.0057874246092362025
Argentina,13,-0.0020938193083593765
Argentina,14,0.015212025976316795
Argentina,15,0.01444238901468764
Argentina,16,0.007858783697218596
Argentina,17,0.007982726685529212
Argentina,18,-0.016948284482020293
Argentina,19,-0.004430175275427856
Argentina,20,0.033474581580216434
Argentina,21,-0.012379989852106728
Argentina,22,-0.02157772553977015
Argentina,23,-0.007455670073283793
Australia and New Zealand,1,-0.008558584178156026
Australia and New Zealand,2,-0.004643536068885956
Australia and New Zealand,3,0.001944185619245753
Australia and New Zealand,4,-2.1836967732663526e-4
Australia and New Zealand,5,0.009208262419073188
Australia and New Zealand,6,0.009764515744562469
Australia and New Zealand,7,0.00536506852688573
Australia and New Zealand,8,0.007017645406395531
Australia and New Zealand,9,0.0032412490526263354
Australia and New Zealand,10,-0.003499199122721189
Australia and New Zealand,11,-0.008144571797102287
Australia and New Zealand,12,-0.01329926467549325
Australia and New Zealand,13,-0.0065516599040527194
Australia and New Zealand,14,-0.006322911064183638
Australia and New Zealand,15,-0.0011081884253092977
Australia and New Zealand,16,0.0017567659498523014
Australia and New Zealand,17,0.009275410158469818
Australia and New Zealand,18,0.005814814249062911
Australia and New Zealand,19,0.0045812271176779995
Australia and New Zealand,20,0.003990296306958907
Australia and New Zealand,21,-0.005326340112724648
Australia and New Zealand,22,-0.006736209993121994
Australia and New Zealand,23,0.003295805243346661
Brazil,1,0.007254664180636083
Brazil,2,-0.00838066758083722
Brazil,3,-0.007240421741756098
Brazil,4,-0.0035859753731131983
Brazil,5,3.714860329964431e-4
Brazil,6,-0.0026827141482659023
Brazil,7,4.670909212973473e-4
Brazil,8,0.007438122418441412
Brazil,9,-0.0013599198555749765
Brazil,10,-0.013943302094793764
Brazil,11,-0.007211705202806555
Brazil,12,0.0028020379985978783
Brazil,13,0.008412825171305482
Brazil,14,-8.13481774734226e-4
Brazil,15,0.01123342680466885
Brazil,16,0.018794038172605027
Brazil,17,0.01771816780002923
Brazil,18,0.0224132097257424
Brazil,19,0.009419499021840444
Brazil,20,-0.010187670704864968
Brazil,21,0.006748948012864395
Brazil,22,-0.02853095271520334
Brazil,23,-0.026262255454419292
Canada,1,-5.490310442139434e-4
Canada,2,0.008812622251723773
Canada,3,0.005071322806214279
Canada,4,-0.010004178640170502
Canada,5,-0.008054631593559985
Canada,6,0.0014376043187962761
Canada,7,0.019032153885685188
Canada,8,0.0068571330290225704
Canada,9,0.006588178121052973
Canada,10,-0.0044242397110370035
Canada,11,-0.006495539844301873
Canada,12,-0.009872169138319963
Canada,13,-0.005353419990978473
Canada,14,-0.010267212723320714
Canada,15,-0.005052156754312476
Canada,16,-7.473144216848804e-4
Canada,17,4.38664368590011e-4
Canada,18,-0.0012346469476662847
Canada,19,-0.0032887636788212216
Canada,20,0.0062173664190907085
Canada,21,-0.018923758685104042
Canada,22,0.008142443416559952
Canada,23,0.02166985774751659
Caribbean Extended,1,-0.014838312969886858
Caribbean Extended,2,-0.01328096886535346
Caribbean Extended,3,-0.005592792601842089
Caribbean Extended,4,0.007642304620911644
Caribbean Extended,5,0.0010077045457846379
Caribbean Extended,6,0.00886182135924865
Caribbean Extended,7,0.012917660757539307
Caribbean Extended,8,0.014848217544309886
Caribbean Extended,9,-0.007053174493048396
Caribbean Extended,10,-0.004425046213922368
Caribbean Extended,11,8.68273653988446e-4
Caribbean Extended,12,0.01349842419359557
Caribbean Extended,13,-0.004621874846264168
Caribbean Extended,14,-0.0012296679261284485
Caribbean Extended,15,0.029399194639006365
Caribbean Extended,16,-0.007129621352381044
Caribbean Extended,17,-0.00354661917477625
Caribbean Extended,18,-0.0014337231142151075
Caribbean Extended,19,-0.004185275873718836
Caribbean Extended,20,-0.022043104607019803
Caribbean Extended,21,-0.020404811159130593
Caribbean Extended,22,0.008523787314074077
Caribbean Extended,23,0.01283116764243103
Central America,1,-0.004294492012249795
Central America,2,0.002609500567456624
Central America,3,-0.0021989161834991555
Central America,4,-0.009333805058718392
Central America,5,-0.00651496512017119
Central America,6,-0.0062468791696354
Central America,7,4.1726370153821746e-4
Central America,8,-0.0024395569230601932
Central America,9,0.003652104139651474
Central America,10,0.012893833341543162
Central America,11,0.01957636972110101
Central America,12,0.016061925329431688
Central America,13,0.002399010025643321
Central America,14,-0.002079390161480038
Central America,15,-0.0042137233417182535
Central America,16,-0.004931301642602082
Central America,17,0.00273277455400181
Central America,18,-0.0033957752868959967
Central America,19,-0.007920744958026582
Central America,20,-0.002302875102209112
Central America,21,-0.0071669554885005204
Central America,22,0.0012392401092552463
Central America,23,0.0019990032754307885
Central Asia Extended,1,-0.0012263244821155705
Central Asia Extended,2,-0.007180042226266337
Central Asia Extended,3,0.0037074309574411934
Central Asia Extended,4,0.02687552905505819
Central Asia Extended,5,0.007851919008342367
Central Asia Extended,6,-0.010273510168756328
Central Asia Extended,7,-0.023551359693148644
Central Asia Extended,8,-0.014140844426346832
Central Asia Extended,9,-0.0027512740282925052
Central Asia Extended,10,9.96726404725562e-4
Central Asia Extended,11,-0.01260831081598034
Central Asia Extended,12,0.014767346836423036
