r,method,time,converged,iter,rss,R2,gamma,lambda,d_KL,d_VAE,nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,se_gamma,se_lambda,se_delta1,se_delta,se_nu,p_gamma,p_lambda,p_delta1,p_delta,p_nu
Argentina,LM,3.639530897140503,TRUE,251,0.0077869681729887,0.9894135953633354,3.614907355079663e-6,0.006228796415098676,1,0.27241060172339016,0.644752187560585,NA,0,NA,1,9.679258765244425e-4,0.1331650600931406,132.460514074776,13.500532590799912,14.856210531911792,0.9970201519224153,0.9626925499635688,0.9891487304764655,0.9839015635958313,0.9653830720531029
Australia and New Zealand,LM,4.903099060058594,FALSE,588,9.513450069991275e-4,0.9987029686733729,1.5802163235787856e-14,0.015797683791629602,0.16481732314859443,0.7189123199975485,0.652317636733434,NA,1,NA,0.5,2.0565537323248395e-11,0.6471503546662452,14.4455181406112,32.3085738112078,40.620116886222476,0.9993869209136494,0.9805246552885127,0.9908966682208338,0.9822473838457604,0.9871873386654046
Brazil,LM,7.4412150382995605,FALSE,453,0.003616066417015884,0.993596359914085,8.071371039180827e-5,0.00468404958925723,0.3181537716678963,0.9984386862104403,1.1619835849486257,NA,1,NA,0.5,0.05228563027051834,0.3220225948372161,2.974912914725785,5.4018787024887756,13.939751014197023,0.9987683002489292,0.988394606080524,0.9148321570257969,0.8533610051082685,0.9335672358910423
Canada,LM,1.0758049488067627,TRUE,283,0.0019879190348601077,0.9939867764662097,2.7934537479478466e-13,0.014372543233357417,1,0.07487133889089304,0.44016674697539127,NA,1,NA,0.5,1.1013955549904223e-10,0.19609622319815176,2372.0311339406844,42.68376659048287,19.904623735381342,0.9979763390027314,0.9415727072900781,0.998733353450943,0.9986004361965899,0.9823571832247897
Caribbean Extended,LM,3.4880101680755615,FALSE,454,0.0033151334964502573,0.9967086000702213,1.1295270409963545e-10,0.011383708381777737,0.07207648425132365,0.6886498878560473,1.5504719615589218,NA,-1,NA,NA,9.473755342209133e-8,0.4171825868022923,4.980861827320018,8.382733911471824,30.763732484648234,0.9990487067261626,0.9782307353901591,0.9884544665207251,0.9345266461379873,0.9598041584795252
Central America,LM,8.460785150527954,FALSE,546,0.0012216996955413761,0.9991649848203292,3.988276217373359e-14,0.015336176095936477,0.3985167634814808,0.8676320932382289,0.7380331932937991,NA,1,NA,0.5,4.595569382209891e-11,0.5727746177775762,20.455976473577397,8.734442118631895,26.25399705511684,0.9993075540038792,0.9786390042061304,0.9844568524589912,0.9208726275070969,0.9775734056639487
Central Asia Extended,LM,4.042679071426392,FALSE,559,0.006082675733363715,0.998325326132496,9.641688888322274e-22,0.02409038937782053,1,0.9036306207974231,0.039735677151247664,NA,1,NA,0.5,5.663920457671098e-19,0.29200238966425346,2610.632420349616,11.508849418769877,8.325841354546244,0.9986417621776154,0.9342485948584314,0.9961542960041379,0.9374174789581236,0.9961920529584338
Chile,LM,3.301086902618408,TRUE,225,0.004087886332904967,0.9967830130010603,1.6157084470620783e-13,0.014642707568086652,0.3519696824394355,1,0.5976863884781092,NA,-1,NA,NA,4.6156928709379944e-11,0.142022984940599,7.260658772662896,23.13717962255763,7.597237963654203,0.9972070364558363,0.9178828348525634,0.9613366729921415,0.9610506337387599,0.937293885377505
China,LM,7.154962062835693,FALSE,581,0.028158083569328543,0.9959162195040523,4.46286052422195e-22,0.02440039419767998,0,0,0.723275373758188,NA,1,NA,0.5,2.825967807563983e-19,0.3149481531176123,0.7341594193389827,42.839025148150164,16.96058882597507,0.9987399552041423,0.9382462190260497,0.985550229261025,0.986388217474534,0.9659849433176368
Eastern Africa,LM,1.539397954940796,TRUE,286,0.001565587259570529,0.9914402521454017,1.5495228012686165e-5,0.005505909877360289,0.21897549512401496,0.9109786061512006,1.4910671129893311,NA,1,NA,0.5,0.005468252511680552,0.17553032210814062,6.0727655238779255,8.289611661485518,29.1127959017571,0.9977390607647807,0.9749766300145737,0.9712356237770285,0.9124934389039161,0.9591526864543043
