year,region,total_factor_productivity,share_capital_valueadded,share_valueadded_output,elasticity_substitution_capital_labour,elasticity_substitution_valueadded_energy,valueadded_CES_exponent,output_CES_exponent,gamma_parameter,nu_parameter,converged
2000,Argentina,0.9297388856259781,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2001,Argentina,0.9355481133299473,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2002,Argentina,0.9413936384578919,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2003,Argentina,0.9472756878046695,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2004,Argentina,0.9531944895822116,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2005,Argentina,0.9591502734283666,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2006,Argentina,0.9651432704158146,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2007,Argentina,0.9711737130610372,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2008,Argentina,0.9772418353333285,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2009,Argentina,0.9833478726638785,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2010,Argentina,0.9894920619549112,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2011,Argentina,0.9956746415888669,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
2012,Argentina,1.0018958514376552,1.8015250857340601,0.27241060172339016,0.5,1,1,0,3.614907355079663e-6,0.644752187560585,TRUE
