t,r,P,Y,C,K,L,E
2000,Argentina,37.2,0.82918,0.30883,0.051,16.660492,1840
2000,Australia and New Zealand,23,0.99496,0.71178,0.211,11.472372,3226
2000,Brazil,174,2.43719,0.96079,0.209,80.295093,4744
2000,Canada,30.9,1.48517,0.83255,0.237,16.186923,6995
2000,Caribbean Extended,38.4,0.21335,0.09251,0.017,13.339443,903
2000,Central America,36.4,0.30387,0.10968,0.026,13.618774,743
2000,Central Asia Extended,74.3,0.43237,0.07343,0.014,31.835921,3718
2000,Chile,15.5,0.27171,0.08842,0.022,6.343733,754
2000,China,1299.1,5.42364,1.85625,0.049,710.414814,29933
2000,Eastern Africa,259.5,0.43209,0.08281,0.013,106.404984,3493
2000,EU27,427.6,17.2455,8.58368,2.45,197.455292,39940
2000,India,1057.9,3.27903,0.61445,0.171,409.617771,11571
2000,Japan,127,4.94763,2.90962,1.201,67.814564,12648
2000,Levant,101,1.41026,0.52879,0.135,33.684997,3426
2000,Mexico,98.6,2.01891,0.74638,0.197,38.589713,3734
2000,Middle Africa,99.2,0.27696,0.03415,0.007,39.856551,1215
2000,Non-EU Europe,79,1.17888,0.28506,0.09,39.612407,5444
2000,Northern Africa,175.6,1.53739,0.30652,0.072,52.63311,3083
2000,Peninsular West Asia,135.7,2.57495,0.41612,0.138,39.168543,8611
2000,Republic of Korea,46.8,1.18043,0.55504,0.271,22.567537,4315
2000,Russia,146.7,2.94729,0.46846,0.118,73.693613,16506
2000,South Africa,47.2,0.52807,0.17133,0.029,18.890253,1941
2000,South America Cluster,121.3,0.92222,0.30611,0.053,52.641979,3205
2000,South-eastern Asia,550.8,3.59166,0.79103,0.283,259.990677,11545
2000,Southern Africa Cluster,6.5,0.04673,0.01066,0.002,2.373616,153
2000,Southern Asia Cluster,354.3,1.13308,0.2261,0.042,112.160854,3348
2000,Switzerland,7.2,0.48406,0.35287,0.14,3.994754,797
2000,Tropical Pacific Islands,8.4,0.03065,0.00093,1.00E-04,3.399239,174
2000,United Kingdom,59.1,2.54696,1.85999,0.388,29.283662,6088
2000,United States,281.5,15.5298,9.29511,2.439,147.139887,59953
2000,Western Africa,242.6,0.73517,0.06227,0.01,103.109989,2238
2001,Argentina,37.6,0.79262,0.2929,0.043,16.71214,1659
2001,Australia and New Zealand,23.3,1.01702,0.733,0.198,11.67579,3268
2001,Brazil,176.3,2.47106,0.9722,0.211,82.303564,4747
2001,Canada,31.2,1.51302,0.85471,0.248,16.4549,6742
2001,Caribbean Extended,38.7,0.21759,0.09493,0.016,13.484312,906
2001,Central America,37.1,0.31068,0.11365,0.025,13.974147,754
2001,Central Asia Extended,74.8,0.4732,0.07975,0.016,32.356511,3850
2001,Chile,15.7,0.28028,0.0902,0.023,6.355065,758
2001,China,1308.4,5.85259,1.97569,0.05,719.566017,30080
2001,Eastern Africa,266.8,0.45287,0.08586,0.014,109.558109,3605
2001,EU27,428.6,17.6332,8.75457,2.474,197.868259,41016
2001,India,1077.9,3.43721,0.64752,0.209,418.764922,11484
2001,Japan,127.3,4.96673,2.97157,1.185,67.616593,12548
2001,Levant,102.7,1.35975,0.51585,0.112,34.242287,3211
2001,Mexico,100.1,2.00981,0.76143,0.183,39.008022,3640
2001,Middle Africa,102.4,0.29104,0.03519,0.008,41.115811,1248
2001,Non-EU Europe,78.5,1.24613,0.29699,0.091,39.573726,5237
2001,Northern Africa,178.9,1.59479,0.31954,0.073,53.311059,3170
