r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,n_sig_struct,valid,dAICc,wAICc
Central America,L-BFGS-B,0.00200495289203064,0.9986309400218696,0.9979920453654088,62,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.939255403150706,0.9253366366112006,2.9478022247470963e-5,0.9955431150303524,0.12456218695692768,0.02737070250530729,0.8744124936517828,9.088711307104382e-29,1.428207766507628,3.738202727469746e-9,2.8100000000000005,-0.56,0.2624671916010498,2.272727272727273,-200.9954653825326,-193.04700587102857,-193.52879871586595,-196.9954653825326,-186.77601743917023,-183.1493115363788,289.74013805389404,FALSE,FALSE,3,TRUE,0,0.5
Central America,L-BFGS-B,0.00200495289203064,0.9986309400218696,0.9979920453654088,62,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.939255403150706,0.9253366366112006,2.9478022247470963e-5,0.9955431150303524,0.12456218695692768,0.02737070250530729,0.8744124936517828,9.088711307104382e-29,1.428207766507628,3.738202727469746e-9,2.8100000000000005,-0.56,0.2624671916010498,2.272727272727273,-200.9954653825326,-193.04700587102857,-193.52879871586595,-196.9954653825326,-186.77601743917023,-183.1493115363788,289.74013805389404,FALSE,FALSE,3,TRUE,0,0.5
Chile,Newton,0.02139863355144654,0.9832139717968194,0.9753804919686684,2,TRUE,NA,0.9511497076215588,0.9110067408633488,1.0915002809975254e-5,0.9980325587807968,0.4189808717860092,0.3389192061802864,0.4127344719039284,0.20853200433787675,1.0626222129072005,2.087229786158833e-5,5.5,-0.74,0.15384615384615383,3.846153846153846,-146.5382158361408,-138.58975632463677,-139.07154916947414,-142.5382158361408,-132.31876789277845,-128.69206198998697,363.0794360637665,FALSE,FALSE,1,TRUE,8.786418798944283,0.006142533153709019
Chile,L-BFGS-B,0.01460419561911317,0.9885438273916968,0.983197613507822,42,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.920685485634152,0.8893870966049446,3.41143552888121e-5,0.9923498482120188,0.21229355307977368,0.19290129490164956,0.6385338729871075,0.05479167640604056,1.2934628455122648,7.371637346551469e-12,0.2799999999999999,3.5,0.7812500000000001,0.2222222222222222,-155.3246346350851,-147.37617512358105,-147.85796796841842,-151.3246346350851,-141.10518669172274,-137.47848078893125,366.06728887557983,FALSE,FALSE,2,TRUE,0,0.49692873342314553
Chile,L-BFGS-B,0.01460419561911317,0.9885438273916968,0.983197613507822,42,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.920685485634152,0.8893870966049446,3.41143552888121e-5,0.9923498482120188,0.21229355307977368,0.19290129490164956,0.6385338729871075,0.05479167640604056,1.2934628455122648,7.371637346551469e-12,0.2799999999999999,3.5,0.7812500000000001,0.2222222222222222,-155.3246346350851,-147.37617512358105,-147.85796796841842,-151.3246346350851,-141.10518669172274,-137.47848078893125,366.06728887557983,FALSE,FALSE,2,TRUE,0,0.49692873342314553
India,L-BFGS-B,0.01143812015489723,0.9970987208953476,0.99574479064651,61,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8583476735123925,0.962776217856684,9.33359515159744e-5,0.9929696186963696,0.1525382504582141,0.10008289439670694,0.7492625450775764,2.7170000960685236e-19,2.219457596426473,3.468375769427042e-5,0,-0.68,1,3.1250000000000004,-160.94485042548632,-152.99639091398228,-153.47818375881965,-156.94485042548632,-146.72540248212397,-143.09869657933248,228.0450859069824,FALSE,FALSE,2,TRUE,0,0.5
India,L-BFGS-B,0.01143812015489723,0.9970987208953476,0.99574479064651,61,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8583476735123925,0.962776217856684,9.33359515159744e-5,0.9929696186963696,0.1525382504582141,0.10008289439670694,0.7492625450775764,2.7170000960685236e-19,2.219457596426473,3.468375769427042e-5,0,-0.68,1,3.1250000000000004,-160.94485042548632,-152.99639091398228,-153.47818375881965,-156.94485042548632,-146.72540248212397,-143.09869657933248,228.0450859069824,FALSE,FALSE,2,TRUE,0,0.5
South-eastern Asia,L-BFGS-B,0.00805383613773958,0.9966504499805268,0.9950873266381056,41,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9535706502006904,0.9342335483884946,1.858813236847312e-5,0.997525989610718,0.6099054069115339,0.12378814641492113,0.8361603727845163,5.219670230518373e-13,1.3781013017573454,0.01733590133950165,-0.78,1.61,4.545454545454546,0.3831417624521072,-169.01332249721435,-161.0648629857103,-161.54665583054768,-165.01332249721435,-154.793874553852,-151.1671686510605,264.57496213912964,FALSE,FALSE,2,TRUE,0,0.5
South-eastern Asia,L-BFGS-B,0.00805383613773958,0.9966504499805268,0.9950873266381056,41,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9535706502006904,0.9342335483884946,1.858813236847312e-5,0.997525989610718,0.6099054069115339,0.12378814641492113,0.8361603727845163,5.219670230518373e-13,1.3781013017573454,0.01733590133950165,-0.78,1.61,4.545454545454546,0.3831417624521072,-169.01332249721435,-161.0648629857103,-161.54665583054768,-165.01332249721435,-154.793874553852,-151.1671686510605,264.57496213912964,FALSE,FALSE,2,TRUE,0,0.5
United Kingdom,L-BFGS-B,0.00503489976118297,0.9750195344390192,0.963361983843895,37,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9202847219328544,0.934737567899542,2.08810764892636e-5,0.9972409767567372,0.22560277135727155,0.2273326664372066,0.6883591830089824,0.03257244435191338,1.557401777037792,0.02677698381340539,1.7100000000000002,8.5,0.3690036900369004,0.10526315789473684,-179.81768517890072,-171.86922566739668,-172.35101851223405,-175.81768517890072,-165.59823723553836,-161.97153133274688,257.65420508384705,FALSE,FALSE,2,TRUE,0,0.5
