r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,n_sig_struct,valid,dAICc,wAICc,best_tier
Central America,L-BFGS-B,0.00200495289203064,0.9986309400218696,0.9979920453654088,62,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.939255403150706,0.9253366366112006,2.9478022247470963e-5,0.9955431150303524,0.12456218695692768,0.02737070250530729,0.8744124936517828,9.088711307104382e-29,1.428207766507628,3.738202727469746e-9,2.8100000000000005,-0.56,0.2624671916010498,2.272727272727273,-200.9954653825326,-193.04700587102857,-193.52879871586595,-196.9954653825326,-186.77601743917023,-183.1493115363788,289.74013805389404,FALSE,FALSE,3,TRUE,19.031255189939827,3.7822728185529065e-5,strict_valid
Chile,L-BFGS-B,0.01460419561911317,0.9885438273916968,0.983197613507822,42,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.920685485634152,0.8893870966049446,3.41143552888121e-5,0.9923498482120188,0.21229355307977368,0.19290129490164956,0.6385338729871075,0.05479167640604056,1.2934628455122648,7.371637346551469e-12,0.2799999999999999,3.5,0.7812500000000001,0.2222222222222222,-155.3246346350851,-147.37617512358105,-147.85796796841842,-151.3246346350851,-141.10518669172274,-137.47848078893125,366.06728887557983,FALSE,FALSE,2,TRUE,30.05543009675344,1.9008740231518274e-7,strict_valid
India,L-BFGS-B,0.01143812015489723,0.9970987208953476,0.99574479064651,61,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8583476735123925,0.962776217856684,9.33359515159744e-5,0.9929696186963696,0.1525382504582141,0.10008289439670694,0.7492625450775764,2.7170000960685236e-19,2.219457596426473,3.468375769427042e-5,0,-0.68,1,3.1250000000000004,-160.94485042548632,-152.99639091398228,-153.47818375881965,-156.94485042548632,-146.72540248212397,-143.09869657933248,228.0450859069824,FALSE,FALSE,2,TRUE,9.074326112444908,0.0076540649479846035,strict_valid
South-eastern Asia,L-BFGS-B,0.00805383613773958,0.9966504499805268,0.9950873266381056,41,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9535706502006904,0.9342335483884946,1.858813236847312e-5,0.997525989610718,0.6099054069115339,0.12378814641492113,0.8361603727845163,5.219670230518373e-13,1.3781013017573454,0.01733590133950165,-0.78,1.61,4.545454545454546,0.3831417624521072,-169.01332249721435,-161.0648629857103,-161.54665583054768,-165.01332249721435,-154.793874553852,-151.1671686510605,264.57496213912964,FALSE,FALSE,2,TRUE,41.49003465978339,6.607661098230449e-10,strict_valid
United Kingdom,L-BFGS-B,0.00503489976118297,0.9750195344390192,0.963361983843895,37,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9202847219328544,0.934737567899542,2.08810764892636e-5,0.9972409767567372,0.22560277135727155,0.2273326664372066,0.6883591830089824,0.03257244435191338,1.557401777037792,0.02677698381340539,1.7100000000000002,8.5,0.3690036900369004,0.10526315789473684,-179.81768517890072,-171.86922566739668,-172.35101851223405,-175.81768517890072,-165.59823723553836,-161.97153133274688,257.65420508384705,FALSE,FALSE,2,TRUE,4.4421393576852495,0.07002696155484237,strict_valid
Argentina,L-BFGS-B,0.00908666680408719,0.9877761492344348,0.9820716855438378,27,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9674666609792524,0.8726338587614008,2.454703226397647e-5,0.993653141577826,0.3880750338144719,0.02175650883712895,0.47758275100392333,0.08615189031101454,1.2697132038541157,1.6145870408126748e-4,-0.8400000000000001,5.5,6.2500000000000036,0.15384615384615383,-166.238150870317,-158.28969135881297,-158.77148420365032,-162.238150870317,-152.01870292695463,-148.39199702416315,167.59535789489746,FALSE,FALSE,3,FALSE,6.873746751761104,0.01588047546694459,relaxed_fallback
Australia and New Zealand,Newton,0.03622075877100404,0.9506881463948608,0.927675948045796,2,TRUE,NA,0.937159650993816,0.9849234574156464,-2.5389041950145635e-6,0.9999225985405916,0.4943724202866427,0.5031971426177098,0.5559525028111534,0.8756436714223881,0.9525923609991824,0.4990624021282643,-0.9,40,10.000000000000002,0.02439024390243902,-134.433193155663,-126.48473364415896,-126.96652648899632,-130.433193155663,-120.21374521230064,-116.58703930950917,314.7763760089874,FALSE,TRUE,0,FALSE,94.00615976549794,3.507961184538128e-21,relaxed_fallback
Brazil,Newton,0.04443017361170212,0.9217270034253428,0.8851996050238362,3,TRUE,NA,0.9448533087635064,0.9730999619538874,6.232287885359185e-5,0.9966105069990476,0.5435272645757652,0.2519694831964423,0.5024463920871306,0.21767931389871265,0.905906734737814,0.15876112144479007,-0.9,-0.8,10.000000000000002,5.000000000000001,-129.73460542007072,-121.78614590856668,-122.26793875340404,-125.73460542007072,-115.51515747670835,-111.88845157391688,182.1929349899292,FALSE,TRUE,0,FALSE,69.78029785201036,5.356635893023186e-16,relaxed_fallback
Canada,Newton,0.03932388498775081,0.881759866272215,0.82658113719924875,2,TRUE,NA,1.054389538999061,0.9555991221855183,-6.76670874909416e-5,0.9939205947137584,0.564273024250165,0.422575485312192,0.5888681595931355,0.4729542554395592,0.938297544552074,0.2764350794729074,-0.9,40,10.000000000000002,0.02439024390243902,-132.54260020333786,-124.5941406918338,-125.0759335366712,-128.54260020333786,-118.3231522599755,-114.69644635718402,422.4288141727447,FALSE,TRUE,0,FALSE,70.38590225613333,4.425547633753572e-16,relaxed_fallback
Caribbean Extended,Newton,0.05204291086682278,0.9484913634799376,0.924453999770575,2,TRUE,NA,1.014778793164867,0.9601752743567806,-4.547548057613311e-5,0.9963386936450788,0.5897474322683018,0.4403973861202624,0.5496258721968674,0.38471017744331176,1.094646563435454,0.17996593860349008,-0.9,7,10.000000000000002,0.125,-126.09716087595524,-118.1487013644512,-118.63049420928856,-122.09716087595524,-111.87771293259289,-108.2510070298014,359.5880949497223,FALSE,FALSE,0,FALSE,63.8142026829633,7.074866961758249e-15,relaxed_fallback
