r,method,grid_points,n_converged,share_converged
Argentina,L-BFGS-B,18900,18900,1
Argentina,LM,18900,17736,0.9384126984126984
Argentina,NM,18900,18900,1
Argentina,Nelder-Mead,18900,18900,1
Argentina,Newton,18900,18900,1
Argentina,PORT,18900,12360,0.653968253968254
Australia and New Zealand,L-BFGS-B,18900,18900,1
Australia and New Zealand,LM,18900,7246,0.3833862433862434
Australia and New Zealand,NM,18900,18900,1
Australia and New Zealand,Nelder-Mead,18900,18900,1
Australia and New Zealand,Newton,18900,18900,1
Australia and New Zealand,PORT,18900,2071,0.10957671957671958
Brazil,L-BFGS-B,18900,18900,1
Brazil,LM,18900,7272,0.38476190476190475
Brazil,NM,18900,18900,1
Brazil,Nelder-Mead,18900,18900,1
Brazil,Newton,18900,18900,1
Brazil,PORT,18900,4897,0.2591005291005291
Canada,L-BFGS-B,18900,18900,1
Canada,LM,18900,18900,1
Canada,NM,18900,18900,1
Canada,Nelder-Mead,18900,18900,1
Canada,Newton,18900,18900,1
Canada,PORT,18900,636,0.03365079365079365
Caribbean Extended,L-BFGS-B,18900,18900,1
Caribbean Extended,LM,18900,17111,0.9053439153439153
Caribbean Extended,NM,18900,18900,1
Caribbean Extended,Nelder-Mead,18900,18900,1
Caribbean Extended,Newton,18900,18900,1
Caribbean Extended,PORT,18900,129,0.006825396825396826
Central America,L-BFGS-B,18900,18900,1
Central America,LM,18900,6393,0.33825396825396825
Central America,NM,18900,18900,1
Central America,Nelder-Mead,18900,18900,1
Central America,Newton,18900,18900,1
Central America,PORT,18900,446,0.023597883597883597
Central Asia Extended,L-BFGS-B,18900,18900,1
Central Asia Extended,LM,18900,5786,0.30613756613756615
Central Asia Extended,NM,18900,18900,1
Central Asia Extended,Nelder-Mead,18900,18900,1
Central Asia Extended,Newton,18900,18900,1
Central Asia Extended,PORT,18900,171,0.009047619047619047
Chile,L-BFGS-B,18900,18900,1
Chile,LM,18900,18710,0.9899470899470899
Chile,NM,18900,18900,1
Chile,Nelder-Mead,18900,18900,1
Chile,Newton,18900,18900,1
Chile,PORT,18900,5724,0.3028571428571429
China,L-BFGS-B,18900,18899,0.9999470899470899
China,LM,18900,5981,0.31645502645502643
China,NM,18900,18900,1
China,Nelder-Mead,18900,18900,1
China,Newton,18900,18900,1
China,PORT,18900,0,0
EU27,L-BFGS-B,18900,18900,1
EU27,LM,18900,39,0.0020634920634920637
EU27,NM,18900,18900,1
EU27,Nelder-Mead,18900,18900,1
EU27,Newton,18900,18900,1
EU27,PORT,18900,387,0.020476190476190478
Eastern Africa,L-BFGS-B,18900,18900,1
Eastern Africa,LM,18900,18696,0.9892063492063492
Eastern Africa,NM,18900,18900,1
Eastern Africa,Nelder-Mead,18900,18900,1
Eastern Africa,Newton,18900,18900,1
Eastern Africa,PORT,18900,256,0.013544973544973546
India,L-BFGS-B,18900,18900,1
India,LM,18900,823,0.043544973544973546
India,NM,18900,18900,1
India,Nelder-Mead,18900,18900,1
India,Newton,18900,18900,1
India,PORT,18900,1,5.291005291005291e-5
Japan,L-BFGS-B,18900,18900,1
Japan,LM,18900,14286,0.7558730158730159
Japan,NM,18900,18900,1
Japan,Nelder-Mead,18900,18900,1
Japan,Newton,18900,18900,1
Japan,PORT,18900,910,0.04814814814814815
Levant,L-BFGS-B,18900,18900,1
Levant,LM,18900,5224,0.2764021164021164
Levant,NM,18900,18900,1
Levant,Nelder-Mead,18900,18900,1
Levant,Newton,18900,18900,1
Levant,PORT,18900,0,0
Mexico,L-BFGS-B,18900,18900,1
Mexico,LM,18900,18751,0.9921164021164021
Mexico,NM,18900,18900,1
Mexico,Nelder-Mead,18900,18900,1
Mexico,Newton,18900,18900,1
Mexico,PORT,18900,4149,0.2195238095238095
Middle Africa,L-BFGS-B,18900,18900,1
Middle Africa,LM,18900,9653,0.5107407407407407
Middle Africa,NM,18900,18899,0.9999470899470899
Middle Africa,Nelder-Mead,18900,18899,0.9999470899470899
Middle Africa,Newton,18900,18900,1
Middle Africa,PORT,18900,1419,0.07507936507936508
Non-EU Europe,L-BFGS-B,18900,18900,1
Non-EU Europe,LM,18900,16989,0.8988888888888888
Non-EU Europe,NM,18900,18900,1
Non-EU Europe,Nelder-Mead,18900,18900,1
Non-EU Europe,Newton,18900,18900,1
Non-EU Europe,PORT,18900,1042,0.05513227513227513
Northern Africa,L-BFGS-B,18900,18900,1
Northern Africa,LM,18900,17020,0.9005291005291005
Northern Africa,NM,18900,18900,1
Northern Africa,Nelder-Mead,18900,18900,1
Northern Africa,Newton,18900,18900,1
Northern Africa,PORT,18900,522,0.02761904761904762
Peninsular West Asia,L-BFGS-B,18900,18900,1
Peninsular West Asia,LM,18900,14705,0.7780423280423281
Peninsular West Asia,NM,18900,18900,1
Peninsular West Asia,Nelder-Mead,18900,18900,1
Peninsular West Asia,Newton,18900,18900,1
Peninsular West Asia,PORT,18900,164,0.008677248677248678
Republic of Korea,L-BFGS-B,18900,18900,1
Republic of Korea,LM,18900,13519,0.7152910052910053
Republic of Korea,NM,18900,18900,1
Republic of Korea,Nelder-Mead,18900,18900,1
