r,method,invalid_reason,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid
Australia and New Zealand,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,7.421720912062267e-4,0.9989895882153448,0.9985180627158388,1362,FALSE,false convergence (8),3.870896950866862e-16,0.8938056838901177,0.01754620548467379,2.172179486982968e-6,0.02480385537235265,0.583096799231972,0.3662409967080083,0.28439728160050626,0.5582304482632116,0.02123269606410145,8.5,10.5,0.10526315789473684,0.08695652173913043,-223.8527434616645,-215.9042839501604,-216.3860767949978,-219.8527434616645,-209.6332955183021,-206.00658961551065,1982.9099950790403,FALSE,FALSE,FALSE
Brazil,LM,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00237425032501824,0.9958172639796172,0.9938653205034385,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,0.0662510108166802,0.8504978495724645,0.00135291903976889,0.6063527019183229,0.29867400564117075,4.609372068755031e-22,0.9992650535071852,0,1.2803471933138275,2.355041228367929e-33,-0.19999999999999996,14.5,1.25,0.06451612903225806,-197.10705847717912,-189.15859896567508,-189.64039181051243,-193.10705847717912,-182.88761053381677,-179.26090463102528,13380.802989959717,FALSE,FALSE,FALSE
Caribbean Extended,PORT,no_convergence|NA|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.00325669260612182,0.9967767407143008,0.9952725530476412,1749,FALSE,false convergence (8),2.9289056606044223e-10,0.9200777509210576,0.01084954288594395,0.0277552687878505,0.02215713887976681,0.6165920217413288,0.7195034413224066,2.1275066175379187e-4,1.644300722414364,1.0119126050822631e-5,2.8100000000000005,-0.8,0.2624671916010498,5.000000000000001,-189.83835910805513,-181.8898995965511,-182.3716924413885,-185.83835910805513,-175.61891116469278,-171.9922052619013,4204.919612169266,FALSE,TRUE,FALSE
Central America,LM,no_convergence|NA|NA|NA|NA|NA|NA|NA,8.764940941921129e-4,0.9994014956709478,0.9991221936507236,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,3.4964089297293553e-12,0.889619185945755,0.01304454018372503,2.515489738652914e-4,0.2273911197989143,0.00409589775386627,0.9653598649781796,2.118226231460755e-42,0.8412260996486158,2.1617282222788606e-7,4,20,0.2,0.04761904761904761,-220.02672057247247,-212.07826106096843,-212.5600539058058,-216.02672057247247,-205.80727262911012,-202.18056672631863,15017.058691978456,FALSE,FALSE,FALSE
Central America,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,8.805588233213624e-4,0.9993987201154748,0.9991181228360296,864,FALSE,false convergence (8),1.2888217738034477e-12,0.8923930191736161,0.01353801610677122,2.1295649347899677e-4,0.23168225458705435,0.00461780971176202,0.9795300913440624,3.48060189510319e-65,0.8205981012116134,8.233930301199234e-7,4,26,0.2,0.03703703703703703,-219.92030495366356,-211.97184544215952,-212.4536382869969,-215.92030495366356,-205.7008570103012,-202.07415110750972,3381.9214799404144,FALSE,FALSE,FALSE
Central Asia Extended,LM,no_convergence|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.00345810929789096,0.9990610771372448,0.9986229131346256,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,1.4746254978714245e-25,0.8709934131152103,0.02827039447554079,1.7153284578893235e-20,0.00924624191325548,0.6561759713140647,1.0626520197418017,1.0663657417138534e-13,0.4193388945192584,2.5501719609614224e-56,9.5,4.5,0.09523809523809525,0.18181818181818185,-188.45813252055663,-180.5096730090526,-180.99146585388996,-184.45813252055663,-174.23868457719428,-170.6119786744028,16903.471865177155,FALSE,FALSE,FALSE
Central Asia Extended,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00377858461173102,0.9989740638090956,0.9984952935866735,2353,FALSE,false convergence (8),2.8857502861705715e-23,0.8635232499607842,0.02565978533247228,4.970441949882123e-19,0.00602855390596611,0.6632197877847944,0.9425989077139576,8.555652245970966e-15,0.4604596164305431,4.9573947836404574e-8,12,-0.34,0.07692307692307693,1.5151515151515154,-186.41969992505344,-178.4712404135494,-178.95303325838677,-182.41969992505344,-172.20025198169108,-168.5735460788996,4682.313807964325,FALSE,FALSE,FALSE
Chile,LM,NA|NA|bad_delta_VAE|NA|NA|NA|NA|rho_VAE_on_edge,0.00395330140400245,0.9968988567095316,0.9954516565073132,181,TRUE,Relative error between `par' and the solution is at most `ptol'.,1.3695572019838122e-13,0.7778330049213407,0.0146493450847866,6.750613623858817e-17,0.33478014775502407,0.00110647638855018,1.0382270109025629,4.619263264723716e-8,0.6049792209631497,1.6219522987125582e-11,0.61,40,0.6211180124223603,0.02439024390243902,-185.38006473183853,-177.4316052203345,-177.91339806517186,-181.38006473183853,-171.16061678847618,-167.5339108856847,4894.7092571258545,FALSE,TRUE,FALSE
Chile,PORT,NA|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.00415434362540322,0.9967411503592476,0.99522035386023,389,TRUE,relative convergence (4),4.2126604134465563e-13,0.8164421572139501,0.01409458749181699,3.767285250662819e-11,0.35505795775899823,0.00126751577313571,1,2.1943848412388524e-4,0.6281550264925344,5.43952259420508e-8,0.29999999999999993,0.3400000000000001,0.7692307692307694,0.7462686567164178,-184.23918618008992,-176.2907266685859,-176.77251951342328,-180.23918618008992,-170.0197382367276,-166.3930323339361,5608.128844976425,FALSE,FALSE,FALSE
China,LM,no_convergence|bad_delta_KL|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.013581222401470531,0.998045850710614,0.9971339143755674,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,1.7018773694672218e-35,0.9419991958695102,0.03962172948636689,5.574022971234131e-9,-0.0936781397277633,0.9387149029587516,0.10596909001858618,0.8916931213503444,1.0249189334743165,0.28138456127047334,15,-0.8,0.0625,5.000000000000001,-156.99491132590805,-149.046451814404,-149.52824465924138,-152.99491132590805,-142.7754633825457,-139.1487574797542,13059.75463604927,FALSE,TRUE,FALSE
