r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime
Argentina,LM,0.0067392564395653744,0.9909340061912398,0.9867032090804851,881,TRUE,Relative error in the sum of squares is at most `ftol'.,0.002421171457074935,0.7603407962088891,0.002967179997592735,0.06748260723231223,0.43187735358794554,7.519914063145425e-5,0.005865456843227651,0.8114566738209719,1.084679406217068,8.598553286850523e-10,-0.9,40,10.000000000000002,0.024390243902439025,-173.1118976220781,-165.16343811057405,-165.64523095541142,-169.1118976220781,-158.89244967871574,-155.26574377592425,6534.78675198555
Argentina,NM,0.009113740262224564,0.9877397286283849,0.9820182686549644,139,TRUE,,0.017649322377417516,0.8787019848754284,0.0020068668282564256,0.5358342551120783,0.51496592094184,0.07697218812060443,0.5379463684016366,0.045625130141719684,1.0304964968221944,0.004797923417213227,-0.9,2.8100000000000005,10.000000000000002,0.2624671916010498,-166.16972492861476,-158.22126541711071,-158.7030582619481,-162.16972492861476,-151.9502769852524,-148.32357108246092,568.0449819564819
Argentina,Nelder-Mead,0.009113740262224564,0.9877397286283849,0.9820182686549644,139,TRUE,,0.017649322377417516,0.8787019848754284,0.0020068668282564256,0.5358342551120783,0.51496592094184,0.07697218812060443,0.5379463684016366,0.045625130141719684,1.0304964968221944,0.004797923417213227,-0.9,2.8100000000000005,10.000000000000002,0.2624671916010498,-166.16972492861476,-158.22126541711071,-158.7030582619481,-162.16972492861476,-151.9502769852524,-148.32357108246092,581.824245929718
Argentina,PORT,0.006802693373382631,0.9908486675705194,0.9865780457700951,1675,TRUE,relative convergence (4),0.0034428754990321543,0.7709454932498659,0.0027941931278805863,0.10025569019644484,0.4292852401967443,1.9531930756587802e-4,0.013554014293993012,0.753062157433021,1.0971596603783798,2.4009822177516003e-9,-0.9,34,10.000000000000002,0.02857142857142857,-172.8964101670656,-164.94795065556156,-165.42974350039893,-168.8964101670656,-158.67696222370324,-155.05025632091176,28538.961664915085
Argentina,Newton,0.012191553360193987,0.983599296409944,0.9759456347345846,2,TRUE,,0.9866470532104684,0.8940922397760346,5.844877836814969e-7,0.9998745032656762,0.5775267057479798,0.19191406273422665,0.4047847236443831,0.10260748015732606,1.070949946817371,0.011466982652735507,-0.9,2.91,10.000000000000002,0.2557544757033248,-159.47764100104894,-151.5291814895449,-152.01097433438227,-155.47764100104894,-145.25819305768658,-141.6314871548951,162.5387580394745
Argentina,L-BFGS-B,0.009086666804087193,0.9877761492344349,0.9820716855438378,27,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9674666609792523,0.8726338587614008,2.454703226397647e-5,0.9936531415778259,0.38807503381447195,0.021756508837128954,0.47758275100392333,0.08615189031101454,1.2697132038541157,1.6145870408126748e-4,-0.8400000000000001,5.5,6.2500000000000036,0.15384615384615385,-166.23815087031699,-158.28969135881295,-158.77148420365032,-162.23815087031699,-152.01870292695463,-148.39199702416315,167.59535789489746
Argentina,L-BFGS-B,0.009086666804087193,0.9877761492344349,0.9820716855438378,27,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9674666609792523,0.8726338587614008,2.454703226397647e-5,0.9936531415778259,0.38807503381447195,0.021756508837128954,0.47758275100392333,0.08615189031101454,1.2697132038541157,1.6145870408126748e-4,-0.8400000000000001,5.5,6.2500000000000036,0.15384615384615385,-166.23815087031699,-158.28969135881295,-158.77148420365032,-162.23815087031699,-152.01870292695463,-148.39199702416315,167.59535789489746
Australia and New Zealand,LM,6.079929840685189e-4,0.9991722630325641,0.998785985781094,1014,TRUE,Relative error in the sum of squares is at most `ftol'.,2.071687260184893e-18,0.8826942854924795,0.020134083651892287,1.873886990958467e-9,0.0033190713393543136,0.9306008549959818,0.3715665205086891,0.27451280857639165,0.5034933702653424,0.025871231933789367,38,-0.6000000000000001,0.02564102564102564,2.5000000000000004,-228.43935292116095,-220.4908934096569,-220.97268625449428,-224.43935292116095,-214.2199049777986,-210.5931990750071,16553.349550008774
Australia and New Zealand,NM,0.0018126608463673107,0.9975321978521502,0.9963805568498203,437,TRUE,,0.026930926202710113,0.9306537710711767,0.0017841773882014945,0.7535628498276101,0.05961123240910471,0.08409142394193962,0.6818523733075517,0.281973963045484,1.3248892897701576,1.48379022988902e-5,-0.4,40,1.6666666666666667,0.024390243902439025,-203.3144339104092,-195.36597439890517,-195.84776724374254,-199.3144339104092,-189.09498596704685,-185.46828006425537,388.7355959415436
Australia and New Zealand,Nelder-Mead,0.0018126608463673107,0.9975321978521502,0.9963805568498203,437,TRUE,,0.026930926202710113,0.9306537710711767,0.0017841773882014945,0.7535628498276101,0.05961123240910471,0.08409142394193962,0.6818523733075517,0.281973963045484,1.3248892897701576,1.48379022988902e-5,-0.4,40,1.6666666666666667,0.024390243902439025,-203.3144339104092,-195.36597439890517,-195.84776724374254,-199.3144339104092,-189.09498596704685,-185.46828006425537,383.9042820930481
