year,region,total_factor_productivity,share_capital_valueadded,share_valueadded_output,elasticity_substitution_capital_labour,elasticity_substitution_valueadded_energy,valueadded_CES_exponent,output_CES_exponent,gamma_parameter,nu_parameter,converged
2000,Argentina,0.91471403959801445,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2001,Argentina,0.9174321914284452,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2002,Argentina,0.9201584204819788,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2003,Argentina,0.922892750760782,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2004,Argentina,0.925635206338346,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2005,Argentina,0.928385811359698,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2006,Argentina,0.9311445900416152,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2007,Argentina,0.933911566672836,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2008,Argentina,0.9366867656142752,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2009,Argentina,0.9394702112992388,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2010,Argentina,0.9422619282336374,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2011,Argentina,0.9450619409962042,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2012,Argentina,0.9478702742387092,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2013,Argentina,0.9506869526861772,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2014,Argentina,0.9535120011371072,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2015,Argentina,0.9563454444636876,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2016,Argentina,0.959187307612017,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2017,Argentina,0.9620376156023231,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2018,Argentina,0.964896393529184,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2019,Argentina,0.9677636665617484,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2020,Argentina,0.9706394599439568,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2021,Argentina,0.9735237989947648,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2022,Argentina,0.9764167091083652,0.43187735358794554,0.00586545684322765,10.000000000000002,0.02439024390243902,-0.9,40,0.00242117145707493,1.084679406217068,TRUE
2000,Australia and New Zealand,0.6376275182614345,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2001,Australia and New Zealand,0.6505956769644442,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2002,Australia and New Zealand,0.6638275839143958,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2003,Australia and New Zealand,0.6773286032604657,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2004,Australia and New Zealand,0.6911042082486559,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2005,Australia and New Zealand,0.7051599834406049,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2006,Australia and New Zealand,0.7195016269775767,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2007,Australia and New Zealand,0.7341349528904176,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2008,Australia and New Zealand,0.7490658934565719,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2009,Australia and New Zealand,0.7643005016049826,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2010,Australia and New Zealand,0.7798449533699013,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2011,Australia and New Zealand,0.7957055503946607,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2012,Australia and New Zealand,0.8118887224862846,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2013,Australia and New Zealand,0.8284010302221393,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2014,Australia and New Zealand,0.8452491676095422,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2015,Australia and New Zealand,0.8624399647994606,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2016,Australia and New Zealand,0.8799803908554636,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2017,Australia and New Zealand,0.8978775565788963,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2018,Australia and New Zealand,0.9161387173916068,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2019,Australia and New Zealand,0.9347712762772394,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2020,Australia and New Zealand,0.9537827867823484,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2021,Australia and New Zealand,0.9731809560786058,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2022,Australia and New Zealand,0.9929736480872332,0.00331907133935431,0.3715665205086891,0.02564102564102564,2.5000000000000004,38,-0.6000000000000001,2.071687260184893e-18,0.5034933702653424,TRUE
2000,Brazil,1.059436743177115,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2001,Brazil,1.057432359542952,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2002,Brazil,1.0554317680688954,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2003,Brazil,1.0534349615804317,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2004,Brazil,1.0514419329166202,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2005,Brazil,1.049452674930069,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2006,Brazil,1.0474671804869082,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2007,Brazil,1.0454854424667648,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2008,Brazil,1.0435074537627371,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2009,Brazil,1.0415332072813694,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2010,Brazil,1.0395626959426258,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2011,Brazil,1.0375959126798653,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2012,Brazil,1.0356328504398176,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2013,Brazil,1.0336735021825558,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2014,Brazil,1.031717860881472,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2015,Brazil,1.029765919523253,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2016,Brazil,1.0278176711078528,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2017,Brazil,1.025873108648471,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2018,Brazil,1.023932225171524,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2019,Brazil,1.0219950137166227,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2020,Brazil,1.0200614673365465,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
2021,Brazil,1.0181315790972183,0.27603748883678547,0.9958559949351584,0.8771929824561403,0.08333333333333333,0.14,11,46.767470588647086,1.4192148915143996,TRUE
